#New triggerd nicknames:
nick_the_avatar = {} # probably wont be used
nick_the_anti-avatar = {}
nick_the_great_uniter = {}
nick_twinkle_toes = {}
nick_the_dragon_of_the_east = {}
nick_the_dragon_of_the_north = {}
nick_the_dragon_of_the_west = {}
nick_the_dragon_of_the_south = {}
nick_the_dragon = {}
nick_the_dragon_of_ember_island = {}
nick_the_dragon_of_ba-sing-se = {}
nick_the_dragon_of_kyoshi_island = {}
nick_the_dragon_of_yu-dao = {}
nick_the_dragon_of_the_fire_nation = {}
nick_the_blind_bandit = {}
nick_the_boulder = {}
nick_the_hippo = {}
nick_the_pebble = {}
nick_fire_nation_man = {}
nick_the_gecko = {}
nick_the_headhunter = {}
nick_hotman = {}
nick_the_goody_two-shoes_consul = {}
nick_cumbustion_man = {}
nick_sparky_sparky_boom_man = {}
nick_the_puppetmaster = {}
nick_lightning_bolt = {}
nick_viper = {}
nick_the_hero_of_the_south = {}
nick_wang_fire = {}
nick_the_blue_spirit = {}
nick_the_dishonorable = {}
nick_Amon = {}
nick_the_turtleduck = {}
nick_the_melon_lord = {}
nick_the_circus_freak = {}
nick_madame_fussy-briches = {}
nick_mudslug = {}
#made up nicknames
nick_the_fartbender = {}
nick_the_master_of_the_spirit_world = {}
nick_the_great_equalizer = {}
nick_the_terrible_uniter = {}
nick_the_uniter = {}
nick_the_anarchist = {}
nick_the_free = {}
nick_the_truly_free = {}
nick_the_spirit_master = {}
nick_the_flame = {}
nick_ice_hands = {}
nick_iceburg = {}
nick_the_red_spirit = {}
nick_fire_nation_lady = {}
nick_the_secret_platypusbear = {}
nick_the_actor = {}
nick_the_tea_master = {}
nick_the_cabbage_man = {}
nick_arrow_head = {}
nick_the_trickster_monk = {}
nick_the_bloodbender = {}
nick_the_metalbender = {}
nick_the_lightningbender = {}
nick_lightning_pole = {}
nick_the_southern_raider = {}
nick_the_raider = {}
nick_the_leader_of_the_rough_rhinos = {}
nick_the_destroyer_of_all_that_is_good = {} #for the one who will not be named only
nick_sandy_britches = {}
nick_the_plant_bender = {}
nick_the_hero_of_the_north = {}
nick_the_hero_of_ba_sing_se = {}
nick_the_hero_of_the_swamp = {}
nick_the_wall_breacher = {}
nick_the_brainwashed = {}
nick_the_brainwasher = {}
nick_the_hippie = {}
nick_the_lover = {}
nick_the_unagi_rider = {}
nick_the_absolutist = {}
nick_barefoot = {}
nick_the_librarian = {}
nick_the_knowledgeable = {}
nick_the_student = {}
nick_the_builder = {}
nick_the_cabbage = {}
nick_the_crosseyed = {}
nick_daisy = {}
nick_the_humanist = {}
nick_the_learned = {}
nick_the_outlaw = {}
nick_the_pale = {}
nick_the_peaceful = {}
nick_the_vain = {}
nick_the_calm_minded = {}
nick_the_enlightened = {}
nick_the_master_of_the_void = {}
nick_the_master_of_flight = {}
nick_the_master_of_air = {}
nick_the_master_of_earth = {}
nick_the_master_of_fire = {}
nick_the_master_of_lightning = {}
nick_the_master_of_water = {}
nick_the_master_of_metal = {}
nick_the_master_of_blood = {}
nick_the_master_of_sand = {}
nick_the_disgusting = {}
nick_the_proudest_in_the_land = {}
nick_the_blue = {}
nick_the_green = {}
nick_the_orange = {}
nick_the_grey = {}
nick_the_white = {}
nick_the_purple = {}
nick_bamboo_man = {}
nick_the_gay = {}
nick_the_lesbian = {}
nick_the_bisexual = {}
nick_actually_shes_bisexual = {}
nick_the_warrior_monk = {}
nick_the_warrior_nun = {}
nick_warrior_lady = {}
nick_the_vigilant = {}
nick_the_slaver = {}
nick_the_juggernaut = {}
nick_the_sad = {}
nick_the_wolf-monkey = {}
nick_the_cat-badger = {}
nick_the_eagle-swan = {}
nick_the_famous = {} #obj
nick_the_infamous = {} #obj
nick_the_sailor = {}
nick_the_red_spear = {}
nick_the_helmet = {}
nick_the_rising_sun = {}
nick_the_great_wind = {}
nick_the_dancer = {}
nick_the_wild_mustang = {}
nick_the_one_man_army = {}
nick_the_spymaster = {}
nick_spirit_slayer = {}

nick_the_unagi = {
	allow = {
		ruled_years = 10
		trait = wroth
		OR = {
			has_character_modifier = cannibal
			trait = cannibal_trait
			AND = {
				trait = wroth
				OR = {
					is_any_kinslayer_trigger = yes
					trait = excommunicated
					trait = impaler
				}
			}
		}
	}
	chance = {
		factor = 3
		modifier = {
			factor = 2
			is_any_kinslayer_trigger = yes
		}
		modifier = {
			factor = 5
			OR = {
				trait = cannibal_trait
				has_character_modifier = cannibal
			}
		}
	}
}
