EVTDESCAVIMP.0;Change is happening within the glorious Fire Nation. Through the work of our glorious Firelord, we have experienced unprecedented growth and prosperity. Our economy has flourished, and the brightest minds of the Fire Nation have churned spectacular invention after invention. There is no question that our glorious nation triumphs over the other nations. With all this prosperity, it is our duty to spread it beyond our borders.;;;;;;;;;;;;;
EVTOPTAAVIMP.0;WE SHALL RULE ALL!;;;;;;;;;;;;;
EVTOPTBAVIMP.0;Our time is now!;;;;;;;;;;;;;
EVTOPTCAVIMP.0;This is a great failure for us...;;;;;;;;;;;;;
EVTOPTDAVIMP.0;Such weaklings think this will matter?;;;;;;;;;;;;;
EVTOPTEAVIMP.0;It is of not concern to us;;;;;;;;;;;;;
EVTDESCAVIMP.2;Change is happening within the glorious Fire Nation. Through the work of our glorious Firelord, we have experienced unprecedented growth and prosperity. Our economy has flourished, and the brightest minds of the Fire Nation have churned spectacular invention after invention. There is no question that our glorious nation triumphs over the other nations. With all this prosperity, it is our duty to spread it beyond our borders.;;;;;;;;;;;;;
EVTOPTAAVIMP.2;WE SHALL RULE ALL!;;;;;;;;;;;;;
EVTOPTBAVIMP.2;Our time is now!;;;;;;;;;;;;;
EVTOPTCAVIMP.2;This is a great failure for us...;;;;;;;;;;;;;
EVTOPTDAVIMP.2;Such weaklings think this will matter?;;;;;;;;;;;;;
EVTOPTEAVIMP.2;It is of no concern to us;;;;;;;;;;;;;
