#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTTOOLIPIMP_TENYEAR_DELAY;Has not been less than ten years since the start of our last campaign.\n;;;;;;;;;;;;;x;
imperial_ambitions_0;Destiny of the Fire Nation;;;;;;;;;;;;;x;
imperial_ambitions_0_desc;The time has come for change in the world. This will open a new path for the Fire Nation;;;;;;;;;;;;;x;
imperial_ambitions_1;The Colonies;;;;;;;;;;;;;x;
imperial_ambitions_1_desc;In your hands is the greatest empire in history. The time has come to share that prosperity with the world. Numerous areas have been identified as the ideal location to establish what might be the first of many colonies.;;;;;;;;;;;;;x;
# imperial_ambitions_2;Colony Settlements;;;;;;;;;;;;;x;
# imperial_ambitions_2_desc;Now that our foothold in the Earth Kingdom is secure, we can send more waves of colonists to settle in the area. It will take a small investment from the royal treasury to ensure our subjects have everything they need to establish any new colonies.;;;;;;;;;;;;;x;
imperial_ambitions_4;Found Imperialism;;;;;;;;;;;;;x;
imperial_ambitions_4_desc;It is time to begin a new chapter in Fire Nation history. There should be no higher authority in this world than the Firelord, and all loyal subjects should vow their undying loyalty. More so, it is time to show the rest of the world the power of the superior element. ;;;;;;;;;;;;;x;
imperial_ambitions_5;Imperial Pride;;;;;;;;;;;;;x;
imperial_ambitions_5_desc;It is time to embark upon a campaign to remind this nation of it's pride. Military parades shall be held in the cities, festivals in the outlying villages. They should all know without a doubt that we are the most cultured and advanced nation in history.;;;;;;;;;;;;;x;
imperial_ambitions_6;The Waking Dragon;;;;;;;;;;;;;x;
imperial_ambitions_6_desc;It is time to usher in an era of industry for the nation. By building factories to take the best advantage of our resources, we will improve our wealth and military strength.;;;;;;;;;;;;;x;
imperial_ambitions_12;Prepare Air Temple Attack;;;;;;;;;;;;;x;
imperial_ambitions_12_desc;The Avatar is dead and has been reborn into the Air Nomads. As long as they exist, the Fire Nation is threatened. When the Great Comet arrives, we must seize our destiny and destroy the Airbenders. With one element removed from the world forever, the Avatar Cycle will surely be destroyed.;;;;;;;;;;;;;x;
imperial_ambitions_13;Fire Supremacy;;;;;;;;;;;;;x;
imperial_ambitions_13_desc;Advisors have suggested yet another campaign to sway the citizens way of thinking. Any future military endeavour will require patriotic citizens to fight in our armies. We must once again remind the nation that we are the world's supreme power.;;;;;;;;;;;;;x;
imperial_ambitions_14;Navy Shipyards;;;;;;;;;;;;;x;
imperial_ambitions_14_desc;For any war, we will need the navy to transport our forces to anywhere in the world. We must construct a massive new shipyard near the Capital, to provide us with the strong fleet we'll need.;;;;;;;;;;;;;x;
imperial_ambitions_15;Establish the Southern Raiders;;;;;;;;;;;;;x;
imperial_ambitions_15_desc;We can construct an outpost on Whaletail Island to serve as a vital military base from which we can attack the Southern Water Tribe.;;;;;;;;;;;;;x;
imperial_ambitions_16;Recruit the Rough Rhinos;;;;;;;;;;;;;x;
imperial_ambitions_16_desc;We can fund an effort to found an elite military order;;;;;;;;;;;;;x;
imperial_ambitions_17;Recruit the Yu Yan Archers;;;;;;;;;;;;;x;
imperial_ambitions_17_desc;We can recruit the nation's best archers to form a new elite military order;;;;;;;;;;;;;x;
imperial_ambitions_18;Pledge Loyalty;;;;;;;;;;;;;x;
imperial_ambitions_18_desc;We can pledge our loyalty to the Firelord and vow to serve him above all else;;;;;;;;;;;;;x;
imperial_ambitions_19;Mandatory Education;;;;;;;;;;;;;x;
imperial_ambitions_19_desc;The Ministry has devised yet a new initiative to better the citizenry. By funding a national education system, we can better influence the next generation.;;;;;;;;;;;;;x;
imperial_ambitions_20;Attack the South;;;;;;;;;;;;;x;
imperial_ambitions_20_desc;If the Avatar was truly slain with the Air Nomads, then they were reborn into the Water Tribes. By attacking the Southern Water Tribe's Waterbenders, there is great enough chance we will capture the Avatar and prevent their future interference.;;;;;;;;;;;;;x;
imperial_ambitions_21;Declare Campaign;;;;;;;;;;;;;x;
imperial_ambitions_21_desc;We must coordinate our military might to force the Earth Kingdom back province by province, until we have eradicated their antiquated nation. We can plan a military campaign against individual regions of the Earth Kingdom, continuing on until we control it completely.;;;;;;;;;;;;;x;
imperial_ambitions_22;Recruit the Barbarians;;;;;;;;;;;;;x;
imperial_ambitions_22_desc;The mountain people of the north have always resented their subjugation by Ba Sing Se, and have longed to break free of them. It is time to intervene on their behalf and offer the petty kings and warlords of the mountains a place by our side.;;;;;;;;;;;;;x;
restoration_ambitions_0;Restoration of the Earth Kingdom;;;;;;;;;;;;x;;
restoration_ambitions_0_desc;Too long has the king had no power in his own kingdom. As foreign vultures approach our shores, we must seize control once more to save our birthright.;;;;;;;;;;;;x;;
restoration_ambitions_1;The Royal Mail Service;;;;;;;;;;;;x;;
restoration_ambitions_1_desc;The Dai Li control the Palace, and we must be able to gather supporters without their interference. The creation of a Royal Mail Service, with the public aim of speeding up correspondence between the Kingdom's bureaucracy, would be the perfect cover for creating a secure delivery service for our messengers.;;;;;;;;;;;;x;;
restoration_ambitions_2;The Royal Guard;;;;;;;;;;;;x;;
restoration_ambitions_2_desc;We will need men we trust at our side when it comes time to seize power. If the Palace is to remain secure, it must be guarded by the best soldiers in the Earth Kingdom and above all else, those solely loyal only to their King.;;;;;;;;;;;;x;;
restoration_ambitions_3;Watch the Watchmen;;;;;;;;;;;;x;;
restoration_ambitions_3_desc;The Dai Li have spread their influence far and wide over Ba Sing Se, and they no doubt have many bases and outposts spread throughout the city. Before we can ever move against them, we must find these locations.;;;;;;;;;;;;x;;
restoration_ambitions_4;Royal Allies;;;;;;;;;;;;x;;
restoration_ambitions_4_desc;All that remains is to find allies who can aid our struggle. The Dai Li are a numerous and elite force, and we will need the support of nobles both within and beyond Ba Sing Se to defeat them.Aksu;;;;;;;;;;;x;;;
restoration_ambitions_5;Seize Power;;;;;;;;;;;;x;;
restoration_ambitions_5_desc;The time has come to overthrow the puppeteers who have ruled Ba Sing Se, and restore true authority back to the Earth King. Loyalists will seize control of the city, but the Grand Secretariat will resist our efforts.;;;;;;;;;;;;x;;
restoration_ambitions_6;Seize Power;;;;;;;;;;;;x;;
restoration_ambitions_6_desc;The Royal Mail Service;;;;;;;;;;;;x;;
restoration_ambitions_9;Restore The Walls;;;;;;;;;;;;x;;
restoration_ambitions_9_desc;The once grand walls of Ba Sing Se are in decay. We must invest a hefty sum to bring them back to their former glory;;;;;;;;;;;;x;;
break_away_from_earth_kingdom;Declare Independence;;;;;;;;;;;;x;;
break_away_from_earth_kingdom_desc;We can break away from the weak Earth King's rule and forge our own destiny. This carries a great risk of reprisal, but in doing so we will finally no longer bend our knees to Ba Sing Se.;;;;;;;;;;;;x;;
pledge_to_earth_king;Rejoin the Earth Kingdom;;;;;;;;;;;;x;;
pledge_to_earth_king_desc;Long has the entire continent been ruled by the Earth King, but our lands have since slipped from Ba Sing Se's control. Alone, we are vulnerable to attack, but if pledge our fealty to the Earth King once more, we may again receive his protection.;;;;;;;;;;;;x;;
form_earth_empire_ek;Centralise the Earth Kingdom!;;;;;;;;;;;;x;;
form_earth_empire_ek_desc;With the restoration of my authority across the continent, it is high time to put in an effort to centralise the land once and for all. The Earth Kingdom shall never be divided again!;;;;;;;;;;;;x;;
rebuild_empire;Restore Chin's Empire;;;;;;;;;;;;x;;
rebuild_empire_desc;It is our destiny to rebuild Chin the Great's Empire! It is time to announce that destiny to the world, and forever remind it of Chin's legacy!;;;;;;;;;;;;x;;
water_tribe_build_stronghold;Build Stronghold;;;;;;;;;;;;x;;
water_tribe_build_stronghold_desc;It is time to build not only a home fitting for a Tribe as great as your own, but a fortress that within they are safe. The resources this will require however, are considerably significant.;;;;;;;;;;;;x;;
EVTDESCIMP.0;A new age has dawned for the Fire Nation. Ahead of us, there are many pathways. We may pursue choices that will unify, industrialise or expand our great nation. Though we may focus on only one endeavour at a time, progress will flower wherever you direct your attention. From here forward, you shall usher in a new era in the world.;;;;;;;;;;;;;x;
EVTDESCIMP.1;The time has come to expand your nation. The Earth Kingdom is plagued by division, weakness and strife. It is the Fire Nation's destiny to take it as our own. We have sent out scouts to find locations for future colonies, so that we may secure our place on the continent's shores. The Avatar however, may disapprove of our progress.;;;;;;;;;;;;;x;
EVTDESCIMP.2;Our forces have moved into Yu Dao, clearing the area of local resistance. Local commanders believe that the land is secure. Now all that remains is to dispatch the first wave of settlers to the area.;;;;;;;;;;;;;x;
EVTDESCIMP.3;Our scouts have returned, reporting that there are a number of promising locations. The War Council advises that Yu Dao should be our first choice as a future colony.;;;;;;;;;;;;;x;
EVTDESCIMP.4;The Imperial Philosophy is embraced in the royal court, but it will take time and effort for the nation's traditions as a whole to change. As Firelord, you must see that the nobility and commoners come to realise their nation's true path.;;;;;;;;;;;;;x;
EVTDESCIMP.5;If we are to further our borders, we must expand our colonies further inland. Further expeditions will be launched to survey the neighbouring region.;;;;;;;;;;;;;x;
EVTDESCIMP.6;Word has spread of your new Imperialist doctrines to all the Fire Nation now. Traditionalists such as the Fire Sages have dared to criticise your decision.;;;;;;;;;;;;;x;
EVTDESCIMP.7;This will be one of many efforts to convince the citizenry to lend their full hearted support to their nation's cause. While many won't be swayed in a day, some may be properly reminded of their true loyalties.;;;;;;;;;;;;;x;
EVTDESCIMP.8;A province has affirmed their loyalty to the crown. These loyalists know their Firelord commands more respect that any Spirit, Sage or even Avatar.;;;;;;;;;;;;;x;
EVTDESCIMP.9;The two year campaign has concluded. While the nation is far from united under the new Imperial Philosophy, a great many loyalists have pledged their allegiance.;;;;;;;;;;;;;x;
EVTDESCIMP.10;A number of more important nobility have chosen to embrace the ideal of a supreme Fire Nation.;;;;;;;;;;;;;x;
EVTDESCIMP.11;Ministers hare prepared a year long campaign to industrialise the nation. Factories are already a common sight in the capital, now we need to encourage this new wave of industry across the nation.;;;;;;;;;;;;;x;
EVTDESCIMP.12;Our investments seem to be paying off. Our encouragement has had local burghers invest their own funds into setting up a factory in their local province.;;;;;;;;;;;;;x;
EVTDESCIMP.13;One of your subjects has come before you asking for royal investment into their province. For a small cost, we can choose to back the establishment of a factory there. While this will be indeed beneficial, it will no doubt benefit the investor more than it will benefit us.;;;;;;;;;;;;;x;
EVTDESCIMP.14;Our current campaign for industrialisation has come to an end. We have yet begun to even draw on more than a minuscule of what this great nation is capable of. More industry will be required to support future military endeavours.;;;;;;;;;;;;;x;
EVTDESCIMP.15;The expeditions we dispatched a year ago have returned with detailed surveys of the Earth Kingdom. We are ready to expand our colonies further inland and along the Western Coast.;;;;;;;;;;;;;x;
EVTDESCIMP.16;Since you moved into your new home, you can't help but feel a surprising number of things have changed. Things are very different living here on the continent, far from our homeland. The hard conditions demand change, a colonial way of life perhaps.;;;;;;;;;;;;;x;
EVTDESCIMP.17;Our forces have moved into Garsai, clearing the area of local resistance. Local commanders believe that the land is secure. Now all that remains is to dispatch the first wave of settlers to the area.;;;;;;;;;;;;;x;
EVTDESCIMP.18;Our Settlers have arrived in the Earth Kingdom, establishing a new colony there.;;;;;;;;;;;;;x;
EVTDESCIMP.19;Our forces have moved into Badaji, clearing the area of local resistance. Local commanders believe that the land is secure. Now all that remains is to dispatch the first wave of settlers to the area.;;;;;;;;;;;;;x;
EVTDESCIMP.20;It is in our strategic interest to construct another colony on the continent. If our capture of Yu Dao proved anything, it's that the Earth King is too weak to stop us. Han Tai will be our next acquisition.;;;;;;;;;;;;;x;
EVTDESCIMP.21;Our forces have moved into Han Tai, clearing the area of local resistance. Local commanders believe that the land is secure. Now all that remains is to dispatch the first wave of settlers to the area.;;;;;;;;;;;;;x;
EVTDESCIMP.22;It is in our strategic interest to construct another colony on the continent. If our capture of Yu Dao proved anything, it's that the Earth King is too weak to stop us. Qizhaicun will be our next acquisition.;;;;;;;;;;;;;x;
EVTDESCIMP.23;Our forces have moved into Qizhaicun, clearing the area of local resistance. Local commanders believe that the land is secure. Now all that remains is to dispatch the first wave of settlers to the area.;;;;;;;;;;;;;x;
EVTDESCIMP.24;It is in our strategic interest to construct another colony on the continent. If our capture of Yu Dao proved anything, it's that the Earth King is too weak to stop us. Xitaozi will be our next acquisition.;;;;;;;;;;;;;x;
EVTDESCIMP.25;Our forces have moved into Xitaozi, clearing the area of local resistance. Local commanders believe that the land is secure. Now all that remains is to dispatch the first wave of settlers to the area.;;;;;;;;;;;;;x;
EVTDESCIMP.26;It is in our strategic interest to construct another colony on the continent. If our capture of Yu Dao proved anything, it's that the Earth King is too weak to stop us. Beisu will be our next acquisition.;;;;;;;;;;;;;x;
EVTDESCIMP.27;Our forces have moved into Beisu, clearing the area of local resistance. Local commanders believe that the land is secure. Now all that remains is to dispatch the first wave of settlers to the area.;;;;;;;;;;;;;x;
EVTDESCIMP.28;Faced with the Avatar's ultimatum, we must abandon all future military campaigns for now.;;;;;;;;;;;;;x;
EVTDESCIMP.29;The Royal Council has already drawn up plans for where funds will be invested. Over the course of the next two years, our propaganda efforts will hopefully sway a significant portion of the population to our way of thinking.;;;;;;;;;;;;;x;
EVTDESCIMP.30;The two period set out by our previous edict has expired and the funds have all been invested. We now know for sure a great many more provinces now recognise their true loyalty is to the throne.;;;;;;;;;;;;;x;
EVTDESCIMP.31;It is by necessity that we will launch a military campaign that the world will forever remember. When the Great Comet arrives, we will seize upon it's power to launch our final assault upon the lesser peoples. For now though, our generals have years to plan how best to utilise the momentary advantage the Comet will provide us.;;;;;;;;;;;;;x;
EVTDESCIMP.32;We have invested in a project to construct a massive shipyard in the capital. This effort will take years, and may face some hurtles, but the Admirals assure us this project will be greatly worth while.;;;;;;;;;;;;;x;
EVTDESCIMP.33;After two years in construction, the Capital Shipyard is finally complete. From here we will build the ships that will secure our borders and beyond.;;;;;;;;;;;;;x;
EVTDESCIMP.34;It appears that we've suffered some minor setbacks in the construction of our new shipyard. Missing construction materials have left workers idle. We will have to cover the loss to keep this project running on time.;;;;;;;;;;;;;x;
EVTDESCIMP.35;This new shipyard project has given many opportunities for our military to rethink just how we construct our warships.;;;;;;;;;;;;;x;
EVTDESCIMP.36;The Komodo Rhinos are a common creatures found among the wilderness of our homeland. Long have they been used as both beasts of burden and war. A recent commander has requested funding to found an elite order of riders that will be known as the Rough Rhinos and we have seen fit to fund the effort.;;;;;;;;;;;;;x;
EVTDESCIMP.37;After years scouring the nation for the best Rhino riders, they have finally been recruited into our new elite cavalry force. The Rough Rhinos will be of great use in the far stretching plains of the Northern Earth Kingdom.;;;;;;;;;;;;;x;
EVTDESCIMP.38;As we expand deeper into Earth Kingdom territory, it is becoming clear we are still quite outmatched when unable to bring the enemy into close range combat. Many archers however, have distinguished themselves and a commander from stronghold in Pohai recommends we create an elite unit of such talented bowmen.;;;;;;;;;;;;;x;
EVTDESCIMP.39;After searching the army for our best and most talented archers, we have organised them into the Yuyan Archers, based out of the Pohai Stronghold. They are our best bowmen, able to shoot targets tiny as the individual fly out of the sky.;;;;;;;;;;;;;x;
EVTDESCIMP.40;While most of our military efforts are focused on the North Earth Kingdom, our supply lines down south have come under threat from Water Tribe attackers. Our commanders have advised constructing a base on Whaletail Island from which we can establish a Southern Raider force to strike back against the Waterbenders and possibly form the spearhead of an invasion.;;;;;;;;;;;;;x;
EVTDESCIMP.41;After two years of work, a new navy base has been built on Whaletail Island. From here, we will finally be able to launch attacks on the Southern Water Tribe.;;;;;;;;;;;;;x;
EVTDESCIMP.42;The Ministry has fully outlined a two year plan for the introduction of mandatory education and a national curriculum approved by the Ministry itself. While no doubt it will trouble some traditionalists, it will overall improve the education standards of the nation as a whole.;;;;;;;;;;;;;x;
EVTDESCIMP.43;Our latest efforts in a certain province seem to have been met with great success, by all reports. The people there have welcomed the introduction of new system.;;;;;;;;;;;;;x;
EVTDESCIMP.44;It seems our efforts to improve the lot of the nation's youth has not gone appreciated in a certain province. It seems the people there greatly opposed to 'elimination of local traditions' and are considerably unhappy with the new laws;;;;;;;;;;;;;x;
EVTDESCIMP.45;After two years, the Ministry has deemed the introduction of mandatory education complete. While it has no doubt angered some traditionalists, overall we have inspired a great deal of youth to future military service.;;;;;;;;;;;;;x;
EVTDESCIMP.46;News has arrived that the Firelord's soldiers have made landfall on the western coast of the Earth Kingdom, taking control from the local nobility after fierce fighting. This blatant act of aggression has been met only with apathy from Ba Sing Se, setting a dangerous precedent that will no doubt enable the Fire Nation to establish more colonies in the Earth Kingdom.;;;;;;;;;;;;;x;
EVTDESCIMP.47;News has arrived that the Firelord has seen fit to establish a colony on the Earth Kingdom's western shores. This will no doubt open up more opportunities for the nobility to profit from these newly acquired territories.;;;;;;;;;;;;;x;
EVTDESCIMP.48;In the aftermath of our successful campaign against the Air Nomads, it is clear it is a worthwhile option to destroy our enemy outright. The Southern Water Tribes are a clear enemy, but we cannot devote our full attention to their destruction. Instead, the War Council suggests we eliminate their benders, removing them as a threat and paving the way for future conquest.;;;;;;;;;;;;;x;
EVTDESCIMP.49;The Commander of the Southern Raiders has received your orders, and has prepared a fleet for the attack on the Southern Water Tribes. As the Avatar may have reincarnated into the Water Tribes, we should look to capture as many enemy Waterbenders as possible in hope of finding them.;;;;;;;;;;;;;x;
EVTDESCIMP.50;Our troops in the south have successfully discovered and captured an enemy Waterbender.;;;;;;;;;;;;;x;
EVTDESCIMP.51;After a fierce battle, the Fire Nation raiders attacking your home managed to trap you in their nets, dragging you off back to their metal ships?;;;;;;;;;;;;;x;
EVTDESCIMP.52;One of your Tribe has fallen into the hands of the enemy, captured in the Raids. Though the battle is over for now, the Tribe shall go on with great sorrow.;;;;;;;;;;;;;x;
EVTDESCIMP.53;For a long time, the South has lived in peace. Now however, the Fire Nation has began a terrifying campaign against your people. The target of their ruthless raids appears to be the Tribe's Waterbenders. It's clear they intend to wipe out those most capable of stopping their attacks.;;;;;;;;;;;;;x;
EVTDESCIMP.54;Our troops in the south have successfully discovered and killed an enemy Waterbender.;;;;;;;;;;;;;x;
EVTDESCIMP.55;As Firebenders attack your home, one such raider manages to thrust a spear into your chest. Within seconds, you leave this world behind.;;;;;;;;;;;;;x;
EVTDESCIMP.56;One of your Tribe has perished at the hands of the enemy, as the Fire Nation continues it's campaign to wipe out all Waterbenders. Their bravery in this fight will be remembered.;;;;;;;;;;;;;x;
EVTDESCIMP.700;Our strategists have identified the regions which we should attack. The war cannot proceed deeper into the Earth Kingdom until we completely secure the necessary border regions.;;;;;;;;;;;;;x;
EVTDESCIMP.701;Word has come that the entirety of the Hu Xin Provinces has fallen under the control of the Fire Nation. While a devastating loss for the Earth Kingdom, most believe such a defeat was inevitable ever since the Fire Nation first moved into the Provinces.;;;;;;;;;;;;;x;
EVTDESCIMP.702;Messengers have brought word that the Fire Nation armies are beginning an offensive to capture the Hu-Xin Provinces. One of the more affluent regions on the continent, its loss would be a terrible blow to the Earth Kingdom.;;;;;;;;;;;;;x;
EVTDESCIMP.703;As of late, we have found ourselves bordered by the invading Firebenders. Now, a massager from the Firelord has arrived, offering an alliance and a chance to break free of Ba Sing Se's tyranny. Long have the people of the Mountains been subjugated by the lowlanders, but are we really desperate enough to swap one foreign ruler for another?;;;;;;;;;;;;;x;
EVTDESCIMP.704;Word is spreading that the Firelord has struck an unlikely alliance with the Mountain People of the North, convincing these often called 'Barbarians' to join the war against the Earth Kingdom. This bodes ill for their enemies, as Fire Nation ranks are reinforced with hardened mercenaries.;;;;;;;;;;;;;x;
EVTOPTAi.0;We have a bright future ahead of us.;;;;;;;;;;;;;x;
EVTOPTAi.1;Onwards;;;;;;;;;;;;;x;
EVTOPTAi.2;A glorious victory;;;;;;;;;;;;;x;
EVTOPTAi.3;This is awful news;;;;;;;;;;;;;x;
EVTOPTAi.4;Good;;;;;;;;;;;;;x;
EVTOPTAi.5;The old men can waste their breath for now.;;;;;;;;;;;;;x;
EVTOPTAi.6;The occasion justifies any cost.;;;;;;;;;;;;;x;
EVTOPTAi.7;We're not concerned for such trivialities.;;;;;;;;;;;;;x;
EVTOPTAi.8;We can afford to pay this cost for the sake of industry.;;;;;;;;;;;;;x;
EVTOPTAi.9;The treasury can't afford such an enterprise at the moment.;;;;;;;;;;;;;x;
EVTOPTAi.10;Someone will suffer for this error;;;;;;;;;;;;;x;
EVTOPTAi.11;This is a good result;;;;;;;;;;;;;x;
EVTOPTAi.12;Excellent Work;;;;;;;;;;;;;x;
EVTOPTAi.13;They will be avenged;;;;;;;;;;;;;x;
EVTOPTAi.14;...;;;;;;;;;;;;;x;
EVTOPTAi.700;I've changed my mind.;;;;;;;;;;;;;x;
EVTOPTAiA.700;We must control the Hu Xin Provinces.;;;;;;;;;;;;;x;
EVTOPTAiB.700;We shall seize the Xiong Lin Territory.;;;;;;;;;;;;;x;
