#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ATLAILLDESC.2;You have felt yourself growing weaker. As your skin begins to deteriorate, dark pus starts to ooze from the pox littering your body. You have contracted Pentapox.;Vos ganglions lymphatiques enfl§s sont devenus noirs et ont §clat§, r§pandant § pr§sent du sang et du pus. Vous avez contract§ la peste.;Eure geschwollenen Lymphknoten haben sich schwarz verf§rbt, sind geborsten und es quellen Blut und Eiter daraus hervor. Ihr habt die Pest.;;Tus linfas hinchadas se han ennegrecido y estallado, arrojando sangre y pus. Has contra§do la Peste.;;;;;;;;;x
ATLAILLDESC.3;Slowly but surely, you have recovered your health. Today you awaken free from blemishes and illness, feeling rejuvenated in body and soul. You have survived Pentapox.;;;;;;;;;;;;x
ATLAILLOPT.3;Thank the Spirits!;;;;;;;;;;;;x
ATLAILLDESC.8;You feel a sudden onset of weakness, like your body has been drained of all strength. Your coughing grows worse, as does your pain and fever. You have contracted the dreaded Takuan Cough.;;;;;;;;;;;;x
ATLAILLDESC.9;Over time, the looming threat of disease has mercifully lifted. As your fever passes, you feel yourself regaining your old strength. You have survived the Takuan Cough.;;;;;;;;;;;;x
ATLAILLOPT.9;I hope to never suffer this again!;;;;;;;;;;;;x
ATLAILLDESC.13;You feel weak, falling into a deep illness that only brings greater suffering. Worse still, no matter how close you bring yourself to the fire, you feel a chill that pains your body. You have contracted Black Frost.;;;;;;;;;;;;x
ATLAILLDESC.14;In time, you start to feel the sunshine on your skin again. The eternal cold that plagued you passes, the pain fades and your strength begins to return. You have survived the Black Frost.;;;;;;;;;;;;x
ATLAILLOPT.14;I think I'll stay in the sun a while longer.;;;;;;;;;;;;x
ATLAILLDESC.18;A pestilence assaults your mind and body, causing your skin to blister, weep, and your mind to wander into a trance. You sweat endlessly, aching with pain. You have contracted Scorch Blight.;;;;;;;;;;;;x
ATLAILLDESC.19;Your malaise slowly begins to fade, and you awaken to just how miraculous your survival truly is. Days pass, and your body slowly begins to heal, but the scars may last forever. You have survived Scorch Blight.;;;;;;;;;;;;x
ATLAILLOPT.19;I'm glad to awaken from this nightmare.;;;;;;;;;;;;x
ATLAILLDESC.22;At first it starts with a bleeding gash you could mistake for a simple wound. More follow however as your body weakens, and you are overcome with fever. Soon you can no longer feel the blood flowing, just a steady ache. You have contracted Verminbite.;;;;;;;;;;;;x
ATLAILLDESC.23;Shedding your bandages, you feel your healed skin, thankful for this moment. With a steady diet, you should regain your strength and leave this terrible chapter behind. You have survived Verminbite.;;;;;;;;;;;;x
ATLAILLOPT.23;I could do with something to eat.;;;;;;;;;;;;x
ATLAILLDESC.26;Ever since the Comet lit up the sky, thick clouds of ash have sullied your lands. Now, you cannot even draw breath without breaking into fits of coughing. Pain wracks your body every time, and soon you begin to even cough blood. You have contracted Ash Breath.;;;;;;;;;;;;x
ATLAILLDESC.27;Miraculously, you overcome the blight that has stricken you. You breath easily again, free to bask in the sun's light free of pain. You have survived Ash Breath.;;;;;;;;;;;;x
ATLAILLOPT.27;I breath freely once more.;;;;;;;;;;;;x
ATLAILL_28_GREAT_DESC;[FromFrom.GetTitledFirstName] insists upon proper healing, placing you within a tub of water. Slowly, [FromFrom.GetTitledFirstName] bends the water back and forth, light shimmering on its surface. When you emerge, you feel truly rejuvenated.;;;;;;;;;;;;x
ATLAILL_28_POOR_DESC;[FromFrom.GetTitledFirstName] insists upon proper healing, placing you within a tub of water. Slowly, [FromFrom.GetTitledFirstName] bends the water back and forth, light shimmering on its surface. You emerge several hours later, feeling better, but not entirely cured.;;;;;;;;;;;;x
ATLAILLOPTA.28;Water truly is the element of life.;;;;;;;;;;;;x
ATLAILLOPTB.28;It is still better than nothing.;;;;;;;;;;;;x
EVTOPTA_RIP_11035_WATER;I will count upon your skills as a Healer.;;;;;;;;;;;;x
EVTOPTA_RIP_11035_WATER_TOOLTIP;§Y[From.GetBestName]§! will perform a healing treatment using Waterbending. The outcome of this treatment can be quite beneficial with little risks.;;;;;;;;;;;;x
spirituality_raise_shrine_decision;Raise Shrine;;;;;;;;;;;;x
spirituality_raise_shrine_decision_desc;With our accumulated funds and favour with the sages, we can start efforts to raise a shrine to the Spirits. If our efforts please them, it may be that the Spirit we call upon is generous and looks down on us with favour.;;;;;;;;;;;;x
spirituality_raise_shrine_decision_tooltip;In three weeks, we will construct a new shrine to a Spirit of our choosing.;;;;;;;;;;;;x
ATLARdesc.750;The plans for a new shrine dedicated to the Spirits have been prepared, making use of all the resources at our disposal. One of the most pressing questions remains however, and that is exactly which Spirit this shrine will be dedicated to?;;;;;;;;;;;;x
spirit_grace_blessing_avatar;Blessing of the Avatar;;;;;;;;;;;;x
spirit_grace_blessing_avatar_desc;To the Avatar, and the Spirit of Order.;;;;;;;;;;;;x
spirit_grace_blessing_hei_bei;Blessing of Hei-Bai;;;;;;;;;;;;x
spirit_grace_blessing_hei_bei_desc;To the great Hei-Bai, Spirit of The Forest.;;;;;;;;;;;;x
spirit_grace_blessing_generaloldiron;Blessing of General Old Iron;;;;;;;;;;;;x
spirit_grace_blessing_generaloldiron_desc;To General Old Iron, Spirit of War.;;;;;;;;;;;;x
spirit_grace_blessing_paintedlady;Blessing of the Painted Lady;;;;;;;;;;;;x
spirit_grace_blessing_paintedlady_desc;To the Painted Lady, Spirit of the River.;;;;;;;;;;;;x
spirit_grace_blessing_agni;Blessing of Agni;;;;;;;;;;;;x
spirit_grace_blessing_agni_desc;To Agni, almighty Spirit of the Sun.;;;;;;;;;;;;x
spirit_grace_blessing_kemurikage;Blessing of the Kemurikage;;;;;;;;;;;;x
spirit_grace_blessing_kemurikage_desc;To the Kemurikage, Spirits of Vengeance.;;;;;;;;;;;;x
spirit_grace_blessing_motheroffaces;Blessing of the Mother;;;;;;;;;;;;x
spirit_grace_blessing_motheroffaces_desc;To the Mother of Faces, Spirit of Identity.;;;;;;;;;;;;x
spirit_grace_blessing_tienhai;Blessing of Tienhai;;;;;;;;;;;;x
spirit_grace_blessing_tienhai_desc;To Lady Tienhai, the Spirit of Peace.;;;;;;;;;;;;x
spirit_grace_blessing_tui;Blessing of Tui;;;;;;;;;;;;x
spirit_grace_blessing_tui_desc;To Tui, Spirit of the Moon.;;;;;;;;;;;;x
spirit_grace_blessing_yue;Blessing of Yue;;;;;;;;;;;;x
spirit_grace_blessing_yue_desc;To Yue, Spirit of the Moon.;;;;;;;;;;;;x
spirit_grace_blessing_la;Blessing of La;;;;;;;;;;;;x
spirit_grace_blessing_la_desc;To La, Spirit of the Ocean.;;;;;;;;;;;;x 
spirit_grace_blessing_spirits;Blessing of the Spirits;;;;;;;;;;;;x
spirit_grace_blessing_spirits_desc;To the Spirits our ancestors respected and communed with.;;;;;;;;;;;;x
buff_legendary_hero;Legendary;;;;;;;;;;;;x
ATLARoptA.750;To the Avatar, and the Spirit of Order;;;;;;;;;;;;x
ATLARoptB.750;To the great Hei-Bai, Spirit of The Forest.;;;;;;;;;;;;x
ATLARoptC.750;To General Old Iron, Spirit of War.;;;;;;;;;;;;x
ATLARoptD.750;To the Painted Lady, Spirit of the River.;;;;;;;;;;;;x
ATLARoptE.750;To Agni, almighty Spirit of the Sun.;;;;;;;;;;;;x
ATLARoptF.750;To the Kemurikage, Spirits of Vengeance.;;;;;;;;;;;;x
ATLARoptG.750;To the Mother of Faces, Spirit of Identity;;;;;;;;;;;;x
ATLARoptH.750;To Lady Tienhai, the Spirit of Peace.;;;;;;;;;;;;x
ATLARoptI.750;To Tui, Spirit of the Moon.;;;;;;;;;;;;x
ATLARoptJ.750;To Yue, Spirit of the Moon;;;;;;;;;;;;x
ATLARoptK.750;To the Spirits our ancestors respected and communed with.;;;;;;;;;;;;x
ATLARoptL.750;To La, Spirit of the Ocean.;;;;;;;;;;;;x
EVTTOOLTIPAATLARAA.750;§YA chance to invoke the Spirit's blessing, granting increased piety, prestige and command bonuses.§!;;;;;;;;;;;;x
EVTTOOLTIPAATLARAB.750;§YA chance to invoke the Spirit's blessing, granting bonuses to construction cost and speed.§!;;;;;;;;;;;;x
EVTTOOLTIPAATLARAC.750;§YA chance to invoke the Spirit's blessing, granting bonuses to command and levies.§!;;;;;;;;;;;;x
EVTTOOLTIPAATLARAD.750;§YA chance to invoke the Spirit's blessing, granting a decrease in risk of disease.§!;;;;;;;;;;;;x
EVTTOOLTIPAATLARAE.750;§YA chance to invoke the Spirit's blessing, granting bonuses to levies.§!;;;;;;;;;;;;x
EVTTOOLTIPAATLARAF.750;§YA chance to invoke the Spirit's blessing, granting benefits and defence against intrigue.§!;;;;;;;;;;;;x
EVTTOOLTIPAATLARAG.750;§YA chance to invoke the Spirit's blessing, granting a decrease in revolt risk.§!;;;;;;;;;;;;x
EVTTOOLTIPAATLARAH.750;§YA chance to invoke the Spirit's blessing, granting benefits to income and decreased revolt risk.§!;;;;;;;;;;;;x
EVTTOOLTIPAATLARAI.750;§YA chance to invoke the Spirit's blessing, granting bonuses to piety and defence.§!;;;;;;;;;;;;x
EVTTOOLTIPAATLARAJ.750;§YA chance to invoke the Spirit's blessing, granting bonuses to piety and levies.§!;;;;;;;;;;;;x
EVTTOOLTIPAATLARAK.750;§YA chance to invoke the Spirit's blessing, granting bonuses to piety.§!;;;;;;;;;;;;x
EVTTOOLTIPAATLARAL.750;§YA chance to invoke the Spirit's blessing, granting bonuses to piety and navies.§!;;;;;;;;;;;;x
ATLARdesc.751;After weeks of construction, work on the Shrine has been complete. In raising it, we honour the Spirits, and in particular, we dedicate this shrine to the Avatar Spirit, the legendary protector the world, the Spirit of Order and Light.;;;;;;;;;;;;x
ATLARoptA.751;May the shrine bring fortune upon us all.;;;;;;;;;;;;x
ATLARdesc.752;After weeks of construction, work on the Shrine has been complete. In raising it, we honour the Spirits, and in particular, we dedicate this shrine to the Hei-Bai, the Spirit of the Forest. Protective of his lands, we hope that by taking only what we need from the forests, Hei-Bai will spare us his wrath and look upon us favourably.;;;;;;;;;;;;x
ATLARdesc.753;After weeks of construction, work on the Shrine has been complete. In raising it, we honour the Spirits, and in particular, we dedicate this shrine to the General Old Iron, Spirit of War.  As a Spirit who detests humanity more than any other, let us hope he sees us as just warriors and defenders, not conquerors.;;;;;;;;;;;;x
ATLARdesc.754;After weeks of construction, work on the Shrine has been complete. In raising it, we honour the Spirits, and in particular, we dedicate this shrine to the Painted Lady, Spirit of the Rivers. By honoring and protecting the sanctity of our lands, we hope the Painted Lady will bless us with good fortune and health.;;;;;;;;;;;;x
ATLARdesc.755;After weeks of construction, work on the Shrine has been complete. In raising it, we honour the Spirits, and in particular, we dedicate this shrine to Agni, Spirit of the Sun. One of the eldest Spirits, Agni is the giver of life to the world, and the source of Firebending. Let us hope that the Sun Spirit bestows his favour upon us.;;;;;;;;;;;;x
ATLARdesc.756;After weeks of construction, work on the Shrine has been complete. In raising it, we honour the Spirits, and in particular, we dedicate this shrine to the Kemurikage, Spirits of Vengeance. Just as they once did, we will visit justice upon the tyrannical and the unjust.;;;;;;;;;;;;x
ATLARdesc.757;After weeks of construction, work on the Shrine has been complete. In raising it, we honour the Spirits, and in particular, we dedicate this shrine to the Mother of Faces, Spirit of Identity. The maker of all beautiful in the world, we hope the Mother will forgive our pride and envy and bless us with good fortunes.;;;;;;;;;;;;x
ATLARdesc.758;After weeks of construction, work on the Shrine has been complete. In raising it, we honour the Spirits, and in particular, we dedicate this shrine to Lady Tienhai, Spirit of Peace. The great Spirit has long been a protector of mankind, may we hope to honour her sacrifice and prosper in peace.;;;;;;;;;;;;x
ATLARdesc.759;After weeks of construction, work on the Shrine has been complete. In raising it, we honour the Spirits, and in particular, we dedicate this shrine to Tui, Spirit of the Moon. Forever circling La in the Great Spirit Oasis, if Tui's eternal dance was to ever cease, Waterbending would disappear from the world forever.;;;;;;;;;;;;x
