#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
northern_festival;Great Festivities;;;;;;;;;;;;x
CB_WATER_OFFENSIVE;Water Tribe Offensive;;;;;;;;;;;;x
water_offensive_desc;The time has come to begin expanding our territory beyond the frozen edges of this world. There are many targets abroad for us to conquer.;;;;;;;;;;;;x
WAR_NAME_WATER_OFFENSIVE;Coastal Conquest - [Title.GetBaseName];;;;;;;;;;;;x
RAIDER_CLAIMANT_ADVENTURE;[Root.GetTitledFirstName]'s Raiders;L§h§te de [Root.GetTitledFirstName];[Root.GetTitledFirstName]s Gastgeber;;Hu§sped de [Root.GetTitledFirstName];;;;;;;;;x
watertribeTOOLTIP.1;You must subjugate all Southern Water Tribe rulers within your lifetime, or risk disgrace upon your dynasty.;;;;;;;;;;;;x
watertribeTOOLTIP.2;§YYou may now wage war to seize any coastal province belonging to a different culture group.§!;;;;;;;;;;;;x
watertribeTOOLTIP.3;§YWith the Water Tribes finally united, there is no reason for the Southern Chieftains not to answer directly to you. All tributaries will become vassals.§!;;;;;;;;;;;;x
wt_chief_of_chiefs;Chief of Chiefs;;;;;;;;;;;;x
wt_chief_of_chiefs_desc;The Chief of the Northern Water Tribe is now indisputably the ruler of all the Water Tribe. Both the Chieftains here swear their fealty and those in the south have come to recognise the strength and superiority of the North. It is time to make our status known to all.;;;;;;;;;;;;x
HTW_ally_earth_kingdom;Side with the Earth Kingdom;;;;;;;;;;;;x
HYW_ally_earth_kingdom_desc;A great war rages between the nations, as the Fire Nation and Earth Kingdom battle for supremacy. Previously, we have seldom involved or even shown interest in the affairs of foreigners, but as the casualties mount and the very balance of the world is shaken, we realise we must choose to aid the Earth Kingdom against the Firelord's ruthless war machine if either of our peoples are to survive.;;;;;;;;;;;;x
HYW_submit_fire_nation;Side with the Fire Nation;;;;;;;;;;;;x
HYW_submit_fire_nation_desc;The Fire Nation has shown strength thought impossible in our forefather's age. As the Earth Kingdom falters, it may be wiser to attempt to befriend the clear victor in this conflict. If the Firelord is open to an alliance, there is perhaps a great many things our peoples can achieve together.;;;;;;;;;;;;x
ally_earth_kingdom_tt;We will ally ourselves with the §YEarth Kingdom§! as a §YMilitary Ally§!.;;;;;;;;;;;;x
submit_fire_nation_tt;We will ally ourselves with the §YFire Nation§! as a §YMilitary Ally§!.;;;;;;;;;;;;x
watertribeDESC.1;It is time for us to finally bring unity to the Water Tribe and bring our southern brothers back under our rightful rule. Though they may have thought they were beyond our reach in the distant South, we will show them there is no place in this world our authority cannot reach.;;;;;;;;;;;;x
watertribeDESC.2;Ever since our ancestors left our sibling tribes to make their own home in the South, the Chief of the Northern Water Tribe has continued to claim authority over us. While this authority has never been enforced, rumour now has it the North is preparing a grand campaign to subjugate the South. This rumour may be unfounded, but it is most certainly troubling.;;;;;;;;;;;;x
watertribeDESC.3;Years after the Chief of the North declared a conquest of the Southern Tribes, that promise has gone  unfulfilled. Southern Chieftains still remain independent, and it is clear that this has done nothing more but divide the Water Tribes.;;;;;;;;;;;;x
watertribeDESC.4;Years after the Chief of the North declared a conquest of the Southern Tribes, that promise has been fulfilled. The Southern Chieftains now bow and pay proper tribute to the North. It is clear that the Northern Water Tribe has never been stronger.;;;;;;;;;;;;x
watertribeDESC.5;For years now, we have ruled over a sizable realm and led a hardy people. It is clear to our destiny is greater than even these heights. It is time for our fleets to leave the Arctic Seas and conquer the distant shores of the other nations.;;;;;;;;;;;;x
watertribeDESC.6;Rumour has reached you that [From.GetTitledFirstName] and [From.GetHerHis] Tribe is growing in ambition and strength. They are no longer satisfied with subjugating their neighbours, but have begun to plan conquests further abroad. Such greed may make [From.GetTitledFirstName] a future enemy.;;;;;;;;;;;;x
watertribeDESC.7;The rule of the Chief of the North is now unquestioned. All the lesser Chieftains have been brought to heel and all the Tribes united under that banner. It is time for a new era of prosperity and direct rule over all the Water Tribe.;;;;;;;;;;;;x
watertribeDESC.8;From decades, the Chief of the North has slowly expanded his rule, first subjugating the neighbouring tribes and then those of the Southern Water Tribe. Now that the North's authority is unopposed, their claim to rule all the Water Tribes is now unquestionable.;;;;;;;;;;;;x
watertribeDESC.9;It may take many weeks for our envoys to sail for the Earth Kingdom and Ba Sing Se, but it is without little doubt that the Earth King is in need of any aid that can be found. Spirits willing, our peoples will be able to unite against the Fire Nation aggressors.;;;;;;;;;;;;x
watertribeDESC.10;An envoy of [From.GetTitledFirstName] recently arrived in Ba Sing Se, looking to establish an alliance between [From.GetHerHis] Tribe and the Earth Kingdom in the war against the Fire Nation. While in the past, we'd be reluctant to ally ourselves with such minor entities, in this current conflict, we may need any assistance the Water Tribe can offer.;;;;;;;;;;;;x
watertribeDESC.11;Our spies in the Earth Kingdom report that [From.GetTitledFirstName] has struck an alliance with [FromFrom.GetTitledFirstName], a chieftain of the Water Tribes. While a signal of desperation, it may mean the entire Water Tribes may side against us. One advisor suggests we make an example of the few Tribal's remaining in our borders, a small number of traders and travellers, to warn the Tribes we will not tolerate their interference.;;;;;;;;;;;;x
watertribeDESC.12;Our envoy has returned with a message from [From.GetTitledFirstName], accepting our offer of alliance. This is fortunate tidings for us and our struggle against the Fire Nation.;;;;;;;;;;;;x
watertribeDESC.13;Our envoy has returned from Ba Sing Se with a message from [From.GetTitledFirstName]. Apparently, the Earth King has totally dismissed any chance of alliance between our peoples.;;;;;;;;;;;;x
watertribeDESC.14;After a discussion with the Tribe's leadership, an envoy has been dispatched in secret to travel to Fire Nation territory. It is a significantly risky journey, but for the sake of the future, our envoy should not fail in his mission to deliver our offer of alliance to the Firelord.;;;;;;;;;;;;x
