#####                                          #####
##                                                ##
## Titles Styling and Special Titles Localisation ##
##  Written for T4N - Restored by TypicalCrusader ##
##                                                ##
#####                                          #####

###																					   ###
##!!!Please add your titles / cultural title loc into appropriate place -TypicalCrusader##
###																					   ###

##                                                  ##
# The Format is:                                     #
# 	Culture Group                                    #
# 		Titles Styling                               #
#			All Feudal gov Empires                   #
#			All Republican gov Empires               #
#			Theocracy Empires                        #
#			Kingdom -> Duchy -> County -> Barony     #
#			After That all special landed_titles loc #
#		Title Holders Styling                        #
#			( same order as with Titles Styling )    #
##                                                  ##

#Code;English;;;;;;;;x

###EK

##Titles

#Empire
empire_of_ba_sing_se;Kingdom of;;;;;;;;x
empire_of_earth_islander;Kingdom of;;;;;;;;x
empire_of_eastern_earth;Kingdom of;;;;;;;;x
empire_of_northern_earth;Kingdom of;;;;;;;;x
empire_of_southern_earth;Kingdom of;;;;;;;;x
empire_of_western_earth;Kingdom of;;;;;;;;x
empire_of_omashuan;Kingdom of;;;;;;;;x
empire_of_dongfangian;Khaganate of;;;;;;;;x
empire_of_sandbender;High Kingdom of;;;;;;;;x

#City Empire
city_empire_of_ba_sing_se;Free State of;;;;;;;;x
city_empire_of_earth_islander;Free State of;;;;;;;;x
city_empire_of_eastern_earth;Free State of;;;;;;;;x
city_empire_of_northern_earth;Free State of;;;;;;;;x
city_empire_of_southern_earth;Free State of;;;;;;;;x
city_empire_of_western_earth;Free State of;;;;;;;;x
city_empire_of_omashuan;Free State of;;;;;;;;x
city_empire_of_dongfangian;Free State of;;;;;;;;x

#Temple Empire
temple_empire_of_ba_sing_se;High Theocracy of;;;;;;;;x
temple_empire_of_earth_islander;High Theocracy of;;;;;;;;x
temple_empire_of_northern_earth;High Theocracy of;;;;;;;;x
temple_empire_of_southern_earth;High Theocracy of;;;;;;;;x
temple_empire_of_western_earth;High Theocracy of;;;;;;;;x
temple_empire_of_eastern_earth;High Theocracy of;;;;;;;;x
temple_empire_of_omashuan;High Theocracy of;;;;;;;;x
temple_empire_of_dongfangian;High Theocracy of;;;;;;;;x


#Kingdoms
kingdom_of_ba_sing_se;Province of;;;;;;;;x
kingdom_of_earth_islander;Province of;;;;;;;;x
kingdom_of_eastern_earth;Province of;;;;;;;;x
kingdom_of_northern_earth;Province of;;;;;;;;x
kingdom_of_southern_earth;Province of;;;;;;;;x
kingdom_of_western_earth;Province of;;;;;;;;x
kingdom_of_omashuan;Province of;;;;;;;;x
kingdom_of_dongfangian;Khanate of;;;;;;;;x
kingdom_of_sandbender;Kingdom of;;;;;;;;x

#Temple Kingdoms
temple_kingdom_of_ba_sing_se;Theocracy of;;;;;;;;x
temple_kingdom_of_earth_islander;Theocracy of;;;;;;;;x
temple_kingdom_of_northern_earth;Theocracy of;;;;;;;;x
temple_kingdom_of_southern_earth;Theocracy of;;;;;;;;x
temple_kingdom_of_western_earth;Theocracy of;;;;;;;;x
temple_kingdom_of_eastern_earth;Theocracy of;;;;;;;;x
temple_kingdom_of_omashuan;Theocracy of;;;;;;;;x
temple_kingdom_of_dongfangian;Theocracy of;;;;;;;;x

#Duchies
duchy_of_ba_sing_se;Commandery of;;;;;;;;x
duchy_of_earth_islander;Commandery of;;;;;;;;x
duchy_of_eastern_earth;Commandery of;;;;;;;;x
duchy_of_northern_earth;Commandery of;;;;;;;;x
duchy_of_southern_earth;Commandery of;;;;;;;;x
duchy_of_western_earth;Commandery of;;;;;;;;x
duchy_of_omashuan;Commandery of;;;;;;;;x
