#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_a_zha;A Zha;A Zha;A Zha;;A Zha;;;;;;;;;x
b_a_zha_adj;A Zhan;;A Zher;;;;;;;;;;;x
b_abudu;Abudu;Abudu;Abudu;;Abudu;;;;;;;;;x
b_abudu_adj;Abudian;;abuder;;;;;;;;;;;x
b_agati;Agati;Agati;Agati;;Agati;;;;;;;;;x
b_agati_adj;Agatian;;agater;;;;;;;;;;;x
b_aguni;Aguni;Aguni;Aguni;;Aguni;;;;;;;;;x
b_aguni_adj;Agunian;;aguner;;;;;;;;;;;x
b_aheunse;Aheunse;Aheunse;Aheunse;;Aheunse;;;;;;;;;x
b_aheunse_adj;Aheunsean;;aheunser;;;;;;;;;;;x
b_ai_shengbing;Ai Shengbing;Ai Shengbing;Ai Shengbing;;Ai Shengbing;;;;;;;;;x
b_ai_shengbing_adj;Ai Shengbingian;;Ai Shengbinger;;;;;;;;;;;x
b_aikou;Aikou;Aikou;Aikou;;Aikou;;;;;;;;;x
b_aikou_adj;Aikian;;aiker;;;;;;;;;;;x
b_air_nomad_checkpoint;Air Nomad Checkpoint;Air Nomad Checkpoint;Air Nomad Checkpoint;;Air Nomad Checkpoint;;;;;;;;;x
b_air_nomad_checkpoint_adj;Air Nomad Checkpointian;;Air Nomad Checkpointer;;;;;;;;;;;x
b_air_temple_island;Air Temple Island;Air Temple Island;Air Temple Island;;Air Temple Island;;;;;;;;;x
b_air_temple_island_adj;Air Temple Islandian;;Air Temple Islander;;;;;;;;;;;x
b_airi_keboyi;Airi Keboyi;Airi Keboyi;Airi Keboyi;;Airi Keboyi;;;;;;;;;x
b_airi_keboyi_adj;Airi Keboian;;Airi Keboer;;;;;;;;;;;x
b_aituserk;Aituserk;Aituserk;Aituserk;;Aituserk;;;;;;;;;x
b_aituserk_adj;Aituserkian;;aituserker;;;;;;;;;;;x
b_aiwei;Aiwei;Aiwei;Aiwei;;Aiwei;;;;;;;;;x
b_aiwei_adj;Aiwian;;aiwer;;;;;;;;;;;x
b_aizizhen;Aizizhen;Aizizhen;Aizizhen;;Aizizhen;;;;;;;;;x
b_aizizhen_adj;Aizizhenian;;aizizhener;;;;;;;;;;;x
b_akazaki;Akazaki;Akazaki;Akazaki;;Akazaki;;;;;;;;;x
b_akazaki_adj;Akazakian;;akazaker;;;;;;;;;;;x
b_akeshi;Akeshi;Akeshi;Akeshi;;Akeshi;;;;;;;;;x
b_akeshi_adj;Akeshian;;akesher;;;;;;;;;;;x
b_aketiqicun;Aketiqicun;Aketiqicun;Aketiqicun;;Aketiqicun;;;;;;;;;x
b_aketiqicun_adj;Aketiqicunian;;aketiqicuner;;;;;;;;;;;x
b_aksu;Aksu;Aksu;Aksu;;Aksu;;;;;;;;;x
b_aksu_adj;Aksian;;akser;;;;;;;;;;;x
b_alornerk;Alornerk;Alornerk;Alornerk;;Alornerk;;;;;;;;;x
b_alornerk_adj;Alornerkian;;alornerker;;;;;;;;;;;x
b_altai_tavan_bogd;Altai Tavan Bogd;Altai Tavan Bogd;Altai Tavan Bogd;;Altai Tavan Bogd;;;;;;;;;x
b_altai_tavan_bogd_adj;Altai Tavan Bogdian;;Altai Tavan Bogder;;;;;;;;;;;x
b_ama;Ama;Ama;Ama;;Ama;;;;;;;;;x
b_ama_adj;Aman;;amer;;;;;;;;;;;x
b_amagi;Amagi;Amagi;Amagi;;Amagi;;;;;;;;;x
b_amagi_adj;Amagian;;amager;;;;;;;;;;;x
b_shuhon;Shuhon;Shuhon;Shuhon;;Shuhon;;;;;;;;;x
b_shuhon_adj;Shuhoni;;shuhoner;;;;;;;;;;;x
b_fire_fountain_city;Fire Fountain City;Fire Fountain City;Fire Fountain City;;Fire Fountain City;;;;;;;;;x
b_fire_fountain_city_adj;Fire Fountain Citian;;Fire Fountain Citer;;;;;;;;;;;x
