si_wong_trail_province;The Si Wong Trail;;;;;;;;;;;;x
si_wong_trail_province_desc;A secret trade route used by the Sand Benders.;;;;;;;;;;;;x
waterbending_school_1_desc; A small school dedicated to training water benders.;;;;;;;;;;;;x
waterbending_school_2_desc; A school dedicated to training water benders.;;;;;;;;;;;;x
waterbending_school_1_desc; A large school dedicated to training water benders.;;;;;;;;;;;;x
waterbender_garrison_desc;A garrison filled with waterbenders ready to freeze invaders.;;;;;;;;;;;;x
watertribe_trade_port_1_desc;;;;;;;;;;;;;x
watertribe_trade_port_2_desc;;;;;;;;;;;;;x
watertribe_trade_port_3_desc;;;;;;;;;;;;;x
royal_fire_academy_1_desc;;;;;;;;;;;;;x
royal_fire_academy_2_desc;;;;;;;;;;;;;x
royal_fire_academy_3_desc;;;;;;;;;;;;;x
dragon_guard_garrison_1_desc;A small attachment of the Dragon Guard stays here.;;;;;;;;;;;;x
dragon_guard_garrison_2_desc;An attachment of the Dragon Guard organizes communications here.;;;;;;;;;;;;x
dragon_guard_garrison_3_desc;The Dragon Guard recruits and trains here.;;;;;;;;;;;;x
firenation_trade_bureau_1_desc;;;;;;;;;;;;;x
firenation_trade_bureau_2_desc;;;;;;;;;;;;;x
firenation_trade_bureau_3_desc;;;;;;;;;;;;;x
earth_bender_garrison_1_desc;;;;;;;;;;;;;x
earth_bender_garrison_2_desc;;;;;;;;;;;;;x
earth_bender_garrison_3_desc;;;;;;;;;;;;;x
royal_trade_offices_1_desc;;;;;;;;;;;;;x
royal_trade_offices_2_desc;;;;;;;;;;;;;x
royal_trade_offices_3_desc;;;;;;;;;;;;;x
