#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NOMADEVTDESC1;Birth;;;;;;;;;;;;x
NOMADEVTDESC2;Onto us a daughter has been born, little [FromFrom.GetFirstName]. In accordance with tradition, she will be of her mother's line.;;;;;;;;;;;;x
EVTOPTANOMAD.2;I wish her well in life.;;;;;;;;;;;;x
NOMADEVTDESC3;Onto us a daughter has been born, little [FromFrom.GetFirstName]. In accordance with tradition, she will be of her mother's line.;;;;;;;;;;;;x
EVTOPTANOMAD.3;She is my daughter.;;;;;;;;;;;;x
NOMADEVTDESC4;Onto us a son has been born, little [FromFrom.GetFirstName]. In accordance with tradition, he will be of his father's line.;;;;;;;;;;;;x
EVTOPTANOMAD.4;He is my son.;;;;;;;;;;;;x
NOMADEVTDESC5;Onto us a son has been born, little [FromFrom.GetFirstName]. In accordance with tradition, he will be of his father's line.;;;;;;;;;;;;x
EVTOPTANOMAD.5;I wish him well in life.;;;;;;;;;;;;x
NOMADEVTDESC10;I am surely with child.;;;;;;;;;;;;x
NOMADEVTDESC11;[From.GetFirstName] is surely with my child.;;;;;;;;;;;;x
EVTDESCNOMAD.13;START YANGCHEN'S FESTIVAL DESC PLACEHOLDER;;;;;;;;;;;;x
EVTOPTANOMAD.13;START YANGCHEN'S FESTIVAL OPTA PLACEHOLDER;;;;;;;;;;;;x
NOMADEVTDESC.14;END YANGCHEN'S FESTIVAL DESC PLACEHOLDER;;;;;;;;;;;;x
EVTOPTANOMAD.14;END YANGCHEN'S FESTIVAL OPTA PLACEHOLDER;;;;;;;;;;;;x
NOMADEVTDESC15;Now that I am an adult, I may have to uphold our traditions and our nomadic way of life, but I am also now free to live it as I wish. Perhaps now is my chance to wander the world on my own.;;;;;;;;;;;;x
EVTOPTANOMADA.15;I will go!.;;;;;;;;;;;;x
EVTOPTANOMADB.15;No, I am needed here.;;;;;;;;;;;;x
NOMADEVTDESC204A;While it is true that I have strayed from my old beliefs, the Council of Elders has now chosen to make the decision to expel me from their number for that very reason..;;;;;;;;;;;;x
NOMADEVTDESC204B;It appears that [Root.GetFirstName] has strayed from our beliefs, choosing the path of ignorance instead of our people's sacred traditions. For that reason, [Root.GetSheHe] is expelled from the Council of Elders, no longer one of us..;;;;;;;;;;;;x
EVTOPTANOMADA.204;Leave them to their bickering.;;;;;;;;;;;;x
EVTOPTANOMADB.204;Perhaps one day [Root.GetSheHe] may regret such choices...;;;;;;;;;;;;x
NOMADEVTDESCA401;After coming of age, my [GetFromRelation] [From.GetFirstName] has come and stated [From.GetHerHis] desire to embrace our people's nomadic nature and journey abroad. While ultimately [From.GetSheHe] is set on going, you have the final say in the matter.  ;;;;;;;;;;;;x
NOMADEVTDESCB401;After coming of age, the young pupil [From.GetFirstName] has stated [From.GetHerHis] intention to leave the Temple and embrace our people's nomadic traditions by travelling abroad.;;;;;;;;;;;;x
