#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_AIRBALL_1100;Before we train to play airplay, we need to learn how to balance on long wooden poles. Over the course of several weeks, we will learn to keep balance and jump on poles.;;;;;;;;;;;;x
EVTOPTA_AIRBALL_1100;There's no gain without pain.;;;;;;;;;;;;x
EVTDESC_AIRBALL_1101;After a week of intense training, your legs aches. It is clear that if you want to improve, you need to push on, but it's beginning to take a toll on you. You need to decide whether you're willing keep up with your efforts.;;;;;;;;;;;;x
EVTOPTA_AIRBALL_1101;I must keep going!;;;;;;;;;;;;x
AIR_PT_GREAT;great training outcome.;;;;;;;;;;;;x
AIR_PT_MODERATE;good training outcome.;;;;;;;;;;;;x
AIR_PT_ALRIGHT;sufficient training outcome.;;;;;;;;;;;;x
EVTOPTB_AIRBALL_1101;I feel I can take it down a notch.;;;;;;;;;;;;x
EVTDESC_AIRBALL_1102;After weeks of intense training, you emerge unquestionably stronger for it. You ache for your efforts, but you've never felt better.;;;;;;;;;;;;x
EVTOPTA_AIRBALL_1102;I'm definitely a fitter man now.;;;;;;;;;;;;x
EVTOPTB_AIRBALL_1102;I feel stronger.;;;;;;;;;;;;x
EVTOPTC_AIRBALL_1102;My very strength commands others.;;;;;;;;;;;;x
EVTDESC_AIRBALL_1013;To [Root.GetSocietyRank] [Root.GetFirstName],\n\nI have heard of your completion of the balance training I previously recommended to you and I congratulate you for it. You are one step closer to truly reaching the peak of your power.\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;x
EVTDESC_AIRBALL_1103;After weeks of intense training, you finally reach the end, legs aching and sore. While you are unsure whether or not you have truly emerged stronger for it, you no doubt have a better appreciation of what a senior player needs endure.;;;;;;;;;;;;x
EVTOPTA_AIRBALL_1103;I most certainly do.;;;;;;;;;;;;x
EVTDESC_AIRBALL_1104;After weeks of intense training, you emerge sore and aching. You are unsure whether or not you've truly improved, but never the less, you've come out a fitter player that you were before.;;;;;;;;;;;;x
