NAE.ACCEPT.OPT;I'm grateful for your aid, Avatar!;;;;;;;;;;;;x
NAE.REFUSE.OPT;I've no interest in your help, Avatar.;;;;;;;;;;;;x
NAE.THANK.OPT;Thank you for your help, Avatar.;;;;;;;;;;;;x

AVATAR_TITLE;Avatar;;;;;;;;;;;;x
AVATAR_TITLE_FOA;Most Esteemed Avatar;;;;;;;;;;;;x

NAE.005.T;Death of the Avatar;;;;;;;;;;;;x
NAE.005.D1;The Sages have gathered to proclaim something shocking: the Avatar is dead. Though they were young, not having seen even their 20th year, already their time upon the world has come to a close. As surely as the sun sets on each day, so too must the sun set on each incarnation of the Avatar - unfortunately, night must sometimes fall far earlier than expected.\n\nIt falls upon all four of the nations now to preserve their harmony in the absence of the Avatar, lest those who seek to upset balance seize the oppurtunity presented while the world is without its defender.;;;;;;;;;;;;x
NAE.005.D2;The Sages have proclaimed it: the Avatar is dead. This is a time of sadness and morning for many, both close to the Avatar and otherwise - it is not, however, a time totally devoid of hope. Already, a new reincarnation walks the world. Just as the sun will set, only to rise again, so too must the cycle of the Avatar continue.\n\nIt falls upon all four of the nations now to preserve their harmony in the absence of the Avatar, lest those who seek to upset balance seize the oppurtunity presented while the world is without its defender.;;;;;;;;;;;;x
NAE.005.OPTA;Surely a great loss;;;;;;;;;;;;x
NAE.005.OPTB;Farewell, old friend;;;;;;;;;;;;x
NAE.005.OPTC;Good riddance;;;;;;;;;;;;x
NAE.006.T;The Avatar Lives!;;;;;;;;;;;;x
NAE.006.D1;The Sages have announced the identity of the Avatar! Rather unfortunately, the Avatar's people have been rendered almost entirely extinct - although they have an intrinsic command over their element, and can rely on their past lives for aid, it will take them much time and effort to be able to master their element and gain the knowledge of a new one. The world can only wait with bated breath to see if this Avatar will be able to restore balance...;;;;;;;;;;;;x
