#code;ENGLISH;;;;;;;;;;x

bloodline_relative_or_dynasty_tt;Is a ï¿½Yclose relative ï¿½! or of the same ï¿½Ydynasty ï¿½! as the founder;;;;;;;;;;x
bloodline_avatar_killer_tt;Characters of religions and cultures that are hostile to the Avatar gain 30 opinion;;;;;;;;;;x

bloodline_effect_free_legitimize;Legitimizing Bastards is ï¿½GFreeï¿½!;;;;;;;;;;x
bloodline_effect_great_heroes_appear;Periodically attracts the servitude of ï¿½GGreat Warriorsï¿½! (if ï¿½Y[From.Founder.Religion.GetName]ï¿½!);;;;;;;;;;;x
bloodline_effect_ambitious;These characters tend to be ï¿½YAmbitious ï¿½!;;;;;;;;;;x
bloodline_effect_giant;Characters tend to be born ï¿½YGiantï¿½!;;;;;;;;;;x
bloodline_effect_strong;Characters tend to be born ï¿½YStrongï¿½!;;;;;;;;;;x
bloodline_effect_airbending;Characters can be born ï¿½YAirbenders ï¿½!;;;;;;;;;;x ##NOTE: For use in future Airbender rework. Stay tuned! -Liz
bloodline_effect_avatar_killer_consequences;There will be ï¿½Ggoodï¿½! and ï¿½Rbadï¿½! events, based upon your ï¿½Yreligionï¿½! and ï¿½Ycultureï¿½!;;;;;;;;;;x

# Earth Kingdom
blood_of_chin;Blood of Chin "the Conqueror";;;;;;;;;;x
blood_of_chin_desc;Chin was a warlord who aimed to overthrow the 46th Earth King and launched a largely successful conquest of the Earth Kingdom, conquering most of the continent until his downfall at the hands of Avatar Kyoshi.;;;;;;;;;;x

mad_genius_bloodline;Blood of King Bumi;;;;;;;;;;x
mad_genius_bloodline_desc;King Bumi was a powerful ruler of the Earth Kingdom City of Omashu, a highly skilled and strategic earthbender. His genius was matched only by his... eccentricity.;;;;;;;;;;x

metalbending_founder_bloodline;Blood of [Root.Founder.GetFirstNameWithNick];;;;;;;;;;x
metalbending_founder_desc_bloodline;[Root.Founder.GetFirstNameWithNick] was a gallant [Root.GetManWoman]. [Root.Founder.GetFirstName] managed to successfully learn Metalbending, a legendary feat. [Root.Founder.GetHerHis] descendants will thank [Root.Founder.GetHerHim] for many generations.;;;;;;;;;;x`
bloodline_effect_metalbending;These characters tend to be ï¿½MMetalbenders ï¿½!;;;;;;;;;;x

bloodline_earth_uniter;Blood of the Unifier;;;;;;;;;;x
bloodline_earth_uniter_desc;By the actions of [Root.Founder.GetFirstNameWithNick], all the peoples of the continent were unitied not by a crown, but by an ideal: the Earth Nation.;;;;;;;;;;x

houting_bloodline;Royal Blood of the Hou-Ting;;;;;;;;;;x
houting_bloodline_desc;The Hou-Tings are a prestigious family, tracing their lineage back to the very first Earth Kings. Only able to enforce their authority within the walls of Ba Sing Se, the Earth Kingdom become largely autonomous and lax under their rule.;;;;;;;;;;x

hao_bloodline;The Tyrannical Blood of the Hao;;;;;;;;;;x
hao_bloodline_desc;Founders of the Earth Kingdom, the Hao united the squabbling states of the continent to become the first Earth Kings. They ruled with an iron fist that extended not just to their enemies, but also to their own dynasty.;;;;;;;;;;x

ting_bloodline;The Blood of Peasant King;;;;;;;;;;x
ting_bloodline_desc;During the waning days of the Hao, a prominent peasant leader by the name of Ting successfully overthrew the last Hao Earth King to become the new monarch of the Earth Kingdom. After their rise to power, they slowly ignored ruling and gave in to their personal pleasures, leaving the kingdom without proper leadership.;;;;;;;;;;x

beifong_bloodline;Blood of The Beifong Family;;;;;;;;;;x
beifong_bloodline_desc;The Beifongs, also called the "House of the Flying Boar", are renowned for their wealth and good connections with other noble families.;;;;;;;;;;x

#Air Nomads
guru_laghima_bloodline;Blood of Guru Laghima;;;;;;;;;;x
guru_laghima_bloodline_desc;Hailing from the Northern Air Temple in a time before the 4 Nations, Guru Laghima was not only the foundational writer to Air Nomad philosophy, but a pioneer in the art of flight. He lived 40 years never touching the ground.;;;;;;;;;;x


#Water Tribe
illaujait_bloodline;Blood of Illaujait;;;;;;;;;;x
illaujait_bloodline_desc;The Illaujait chieftains were the first to unite the tribes of the north into a unified nation, forming the Northern Water Tribe.;;;;;;;;;;x

atanniupaa_bloodline;Blood of Atanniupaa;;;;;;;;;;x
atanniupaa_bloodline_desc;The Atanniupaa are a noble clan from the Northern Water Tribe. Highly respected for their leadership, they eventually became chiefs of the Northern Water Tribe following the death of the last Illaujait chief.;;;;;;;;;;x

taima_bloodline;Blood of Taima;;;;;;;;;;x
taima_bloodline_desc;The Taima are a noble clan from the Southern Water Tribe. One of the most prominent among the southern clans, they are renowned for their skilled craftsmanship, shrewd leadership abilities, and perilous wit in the face of overpowering danger.;;;;;;;;;;x

water_nation_bloodline;Blood of the Chief of Chiefs;;;;;;;;;;x
water_nation_bloodline_desc;[Founder.GetFirstNameWithNick] unified the Water Tribes, turning them into a force to truly rival the other nations.;;;;;;;;;;x

#Fire Nation
saowan_bloodline;Blood of Chaejin;;;;;;;;;;x
saowan_bloodline_desc;Chaejin belongs to one of the most powerful clans in the Fire Nation.;;;;;;;;;;x

rakurai_bloodline;Blood of Hakaku;;;;;;;;;;x
rakurai_bloodline_desc;Firelord Hakaku was the first man to unite the Fire Islands into one nation.;;;;;;;;;;x

burning_curse_bloodline;Blood of Sozin;;;;;;;;;;x
burning_curse_bloodline_desc;Firelord Sozin harnessed the Comet's power, later redubbed Sozin's Comet and used it to begin the Great March on civilization;;;;;;;;;;x

firelord_bloodline;Blood of the Firelord;;;;;;;;;;x
bloodline_effect_lightning;These characters tend to be ï¿½P Lightningbenders ï¿½! ;;;;;;;;;;x

toz_bloodline;Blood of Toz the Warlord;;;;;;;;;;x
toz_bloodline_desc;Prior to the formation of the Fire Nation, Toz was one of the most powerful rulers on the Fire Islands, coming to rule vast swathes of the archipelago. His exploits encouraged waves of other warlords to try and unite the fire islands.;;;;;;;;;;x

sun_bloodline;Blood of the Sun;;;;;;;;;;x
sun_bloodline_desc;The Sunwarriors were the first to master the art of firebending directly from the dragons. Although they now live in secrecy, their connection to the dragons makes them more powerful and pious than the average firebender.;;;;;;;;;;x

# Avatars
korra_bloodline;Blood of Avatar Korra;;;;;;;;;;x
korra_bloodline_desc;Avatar Korra was the Avatar succeeding Aang. Displaying control over all four elements from a very young age, she was considered one of the most powerful Avatars to ever live - a view she fully acknowledged and embraced.;;;;;;;;;;x

aang_bloodline;Blood of Avatar Aang;;;;;;;;;;x
