##UNUSED BUILDINGS##
ca_healer_1;Healer;;;;;;;;;;;x
ca_healer_1_desc;A special hut for one trained in herbcraft and the basics of first aid can heal the sick and injured of basic maladies.;;;;;;;;;;;x
ca_healer_2;Hospital;;;;;;;;;;;x
ca_healer_2_desc;A dedicated facility for the sick and wounded to recover.;;;;;;;;;;;x
ca_moat_1;Moat;;;;;;;;;;x
ca_moat_1_desc;Moat;;;;;;;;;;x
ca_bridge_1;Bridge;;;;;;;;;;x
ca_bridge_1_desc;Bridge;;;;;;;;;;x
ca_gate_1;Gate;;;;;;;;;;x
ca_gate_1_desc;Gate;;;;;;;;;;x
ca_market_1;Market;;;;;;;;;;x
ca_market_1_desc;Market;;;;;;;;;;x
ca_towers_1;Towers;;;;;;;;;;x
ca_towers_1_desc;Towers;;;;;;;;;;x
royal_guard_ARMY;Royal Guard;;;;;;;;;;;;x
royal_guard_ARMY_OF;Royal Guard of Ba Sing Se;;;;;;;;;;;;x
##UNUSED BUILDINGS END##

tb_culture_sand_1;Sandbender Tribe;;;;;;;;;;;;x
tb_culture_sand_1_desc;For long as the tribe's remember, they have controlled the sand to survive the harshness of the dunes.;;;;;;;;;;;;x

ca_culture_fire_1;Firebending Dojo;;;;;;;;;;;;x
ca_culture_fire_1_desc;Firebending Dojos can impart the basics of Firebending to the nation's youth;;;;;;;;;;;;x
ca_culture_fire_2;Firebending Academy;;;;;;;;;;;;x
ca_culture_fire_2_desc;The Academies are institutions which can prepare more Firebenders for military service.;;;;;;;;;;;;x
ca_culture_fire_3;Firebending Grand Academy;;;;;;;;;;;;x
ca_culture_earth_3_desc;The most advanced techniques and equipment teach the students of the Grand Academy the best in Firebending techniques.;;;;;;;;;;;;x
ca_culture_earth_1;Earthbending Dojo;;;;;;;;;;;;x
ca_culture_earth_1_desc;A simple dojo can impart the basics of Earthbending to the kingdom's youth.;;;;;;;;;;;;x
ca_culture_earth_2;Earthbending Academy;;;;;;;;;;;;x
