#####                                          #####
##                                                ##
##        Core Loc (gui, unit loc etc)            ##
##  Written for T4N - Restored by TypicalCrusader ##
##                                                ##
#####                                          #####


#Retinues
RETTYPE_CUL_FN_SKI;Yuyan Archers;;;;;;;;;;;;x
RETTYPE_CUL_FN_INF1;Spear Infantry;;;;;;;;;;;;x
RETTYPE_CUL_FN_INF2;Firebenders;;;;;;;;;;;;x
RETTYPE_CUL_FN_INF3;Imperial Firebenders;;;;;;;;;;;;x
RETTYPE_CUL_FN_CAV1;Rough Rhinos;;;;;;;;;;;;x
RETTYPE_CUL_FN_CAV2;Tundra Tank;;;;;;;;;;;;x
RETTYPE_CUL_WT_SKI;Tribe Hunters;;;;;;;;;;;;x
RETTYPE_CUL_WT_INF1;Tribe Warriors;;;;;;;;;;;;x
RETTYPE_CUL_WT_INF2;Waterbenders;;;;;;;;;;;;x
RETTYPE_CUL_WT_INF3;Swampbenders;;;;;;;;;;;;x
RETTYPE_CUL_WT_CAV1;Yak Calvary;;;;;;;;;;;;x
RETTYPE_CUL_WT_CAV2;Mecha-Tanks;;;;;;;;;;;;x
RETTYPE_CUL_EK_SKI;Archer Company;;;;;;;;;;;;x
RETTYPE_CUL_EK_INF1;Infantry Company;;;;;;;;;;;;x
RETTYPE_CUL_EK_INF2;Earthbenders;;;;;;;;;;;;x
RETTYPE_CUL_EK_INF3;Sandbenders;;;;;;;;;;;;x
RETTYPE_CUL_EK_INF4;Metalbenders;;;;;;;;;;;;x
RETTYPE_CUL_EK_CAV1;Ostrich Horse Calvary;;;;;;;;;;;;x
RETTYPE_CUL_EK_CAV2;Caterpillar Tank;;;;;;;;;;;;x
RETTYPE_CUL_AN_INF1;Air Masters;;;;;;;;;;;;x

#Units types added in mod
fire_benders;Firebenders;;;;;;;;;;;;x;
fire_benders_offensive;Firebender Offensive;Attaque des i?1li?1phants de guerre;A Angriff;;A Ofensivo;;;;;;;;x;
fire_benders_defensive;Firebender Defensive;Di?1fense des i?1li?1phants de guerre;A Verteidigung;;A Defensivo;;;;;;;;x;
fire_benders_morale;Firebender Morale;Moral des i?1li?1phants de guerre;A Moral;;A Moral;;;;;;;;x;
water_benders;Waterbenders;;;;;;;;;;;;x;
water_benders_offensive;Waterbender Offensive;Attaque des i?1li?1phants de guerre;A Angriff;;A Ofensivo;;;;;;;;x;
water_benders_defensive;Waterbender Defensive;Di?1fense des i?1li?1phants de guerre;A Verteidigung;;A Defensivo;;;;;;;;x;
water_benders_morale;Waterbender Morale;Moral des i?1li?1phants de guerre;A Moral;;A Moral;;;;;;;;x;
earth_benders;Earthbenders;;;;;;;;;;;;x;
earth_benders_offensive;Earthbender Offensive;Attaque des i?1li?1phants de guerre;A Angriff;;A Ofensivo;;;;;;;;x;
earth_benders_defensive;Earthbender Defensive;Di?1fense des i?1li?1phants de guerre;A Verteidigung;;A Defensivo;;;;;;;;x;
earth_benders_morale;Earthbender Morale;Moral des i?1li?1phants de guerre;A Moral;;A Moral;;;;;;;;x;
air_benders;Airbenders;;;;;;;;;;;;x;
air_benders_offensive;Airbender Offensive;Attaque des i?1li?1phants de guerre;A Angriff;;A Ofensivo;;;;;;;;x;
air_benders_defensive;Airbender Defensive;Di?1fense des i?1li?1phants de guerre;A Verteidigung;;A Defensivo;;;;;;;;x;
air_benders_morale;Airbender Morale;Moral des i?1li?1phants de guerre;A Moral;;A Moral;;;;;;;;x;
sand_benders;Sandbenders;;;;;;;;;;;;x;
sand_benders_offensive;Sandbender Offensive;Attaque des i?1li?1phants de guerre;A Angriff;;A Ofensivo;;;;;;;;x;
sand_benders_defensive;Sandbender Defensive;Di?1fense des i?1li?1phants de guerre;A Verteidigung;;A Defensivo;;;;;;;;x;
sand_benders_morale;Sandbender Morale;Moral des i?1li?1phants de guerre;A Moral;;A Moral;;;;;;;;x;
metal_benders;Metalbenders;;;;;;;;;;;;x;
metal_benders_offensive;Metalbender Offensive;Attaque des i?1li?1phants de guerre;A Angriff;;A Ofensivo;;;;;;;;x;
metal_benders_defensive;Metalbender Defensive;Di?1fense des i?1li?1phants de guerre;A Verteidigung;;A Defensivo;;;;;;;;x;
metal_benders_morale;Metalbender Morale;Moral des i?1li?1phants de guerre;A Moral;;A Moral;;;;;;;;x;
dragon_riders;Dragon;;;;;;;;;;;;x;
dragon_riders_offensive;Dragon Offensive;Attaque des i?1li?1phants de guerre;A Angriff;;A Ofensivo;;;;;;;;x;
dragon_riders_defensive;Dragon Defensive;Di?1fense des i?1li?1phants de guerre;A Verteidigung;;A Defensivo;;;;;;;;x;
dragon_riders_morale;Dragon Morale;Moral des i?1li?1phants de guerre;A Moral;;A Moral;;;;;;;;x;
sky_bison;Sky bison;;;;;;;;;;;;x;
sky_bison_offensive;Sky Bison Offensive;Attaque des i?1li?1phants de guerre;A Angriff;;A Ofensivo;;;;;;;;x;
sky_bison_defensive;Sky Bison Defensive;Di?1fense des i?1li?1phants de guerre;A Verteidigung;;A Defensivo;;;;;;;;x;
sky_bison_morale;Sky Bison Morale;Moral des i?1li?1phants de guerre;A Moral;;A Moral;;;;;;;;x;
chi_blockers;Chi Blockers;;;;;;;;;;;;x;
chi_blockers_offensive;Chi Blocker Offensive;Attaque des i?1li?1phants de guerre;A Angriff;;A Ofensivo;;;;;;;;x;
chi_blockers_defensive;Chi Blocker Defensive;Di?1fense des i?1li?1phants de guerre;A Verteidigung;;A Defensivo;;;;;;;;x;
chi_blockers_morale;Chi Blocker Morale;Moral des i?1li?1phants de guerre;A Moral;;A Moral;;;;;;;;x;
avatar_at_war;Avatar;;;;;;;;;;;;x;
avatar_at_war_offensive;Avatar Offensive;Attaque des i?1li?1phants de guerre;A Angriff;;A Ofensivo;;;;;;;;x;
avatar_at_war_defensive;Avatar Defensive;Di?1fense des i?1li?1phants de guerre;A Verteidigung;;A Defensivo;;;;;;;;x;
avatar_at_war_morale;Avatar Morale;Moral des i?1li?1phants de guerre;A Moral;;A Moral;;;;;;;;x;
fire_benders_modifier;Combat Modifier boost to Firebender Troops: $PERC$;Bonus de combat pour les i?1li?1phants $PERC$;Kampfkrafterhi?1hung der Elefantenreiter: $PERC$;;Modificador de combate apoyar a tropas montadas en elefante: $PERC$;;;;;;;;;x
water_benders_modifier;Combat Modifier boost to Waterbender Troops: $PERC$;Bonus de combat pour les i?1li?1phants $PERC$;Kampfkrafterhi?1hung der Elefantenreiter: $PERC$;;Modificador de combate apoyar a tropas montadas en elefante: $PERC$;;;;;;;;;x
earth_benders_modifier;Combat Modifier boost to Earthbender Troops: $PERC$;Bonus de combat pour les i?1li?1phants $PERC$;Kampfkrafterhi?1hung der Elefantenreiter: $PERC$;;Modificador de combate apoyar a tropas montadas en elefante: $PERC$;;;;;;;;;x
air_benders_modifier;Combat Modifier boost to Airbender Troops: $PERC$;Bonus de combat pour les i?1li?1phants $PERC$;Kampfkrafterhi?1hung der Elefantenreiter: $PERC$;;Modificador de combate apoyar a tropas montadas en elefante: $PERC$;;;;;;;;;x
sand_benders_modifier;Combat Modifier boost to Sandbender Troops: $PERC$;Bonus de combat pour les i?1li?1phants $PERC$;Kampfkrafterhi?1hung der Elefantenreiter: $PERC$;;Modificador de combate apoyar a tropas montadas en elefante: $PERC$;;;;;;;;;x
metal_benders_modifier;Combat Modifier boost to the Metalbender Troops: $PERC$;Bonus de combat pour les i?1li?1phants $PERC$;Kampfkrafterhi?1hung der Elefantenreiter: $PERC$;;Modificador de combate apoyar a tropas montadas en elefante: $PERC$;;;;;;;;;x
avatar_at_war_modifier;Combat Modifier boost to the Avatar: $PERC$;Bonus de combat pour les i?1li?1phants $PERC$;Kampfkrafterhi?1hung der Elefantenreiter: $PERC$;;Modificador de combate apoyar a tropas montadas en elefante: $PERC$;;;;;;;;;x
dragon_riders_modifier;Combat Modifier boost to Dragons: $PERC$;Bonus de combat pour les i?1li?1phants $PERC$;Kampfkrafterhi?1hung der Elefantenreiter: $PERC$;;Modificador de combate apoyar a tropas montadas en elefante: $PERC$;;;;;;;;;x
chi_blockers_modifier;Combat Modifier boost to the Chi Blocker Troops: $PERC$;Bonus de combat pour les i?1li?1phants $PERC$;Kampfkrafterhi?1hung der Elefantenreiter: $PERC$;;Modificador de combate apoyar a tropas montadas en elefante: $PERC$;;;;;;;;;x

#Piety strings
STAT_PIETY_SPIRITUALITY;Spirituality;;;;;;;;;;;;x
MONTHLY_PIETY_SPIRITUALITY;Monthly Spirituality Increase;;;;;;;;;;;;x
STAT_PIETY_MENU_SPIRITUALITY;Spirituality;;;;;;;;;;;;x
STAT_PIETY_DESC_SPIRITUALITY;Spirituality represents the knowledge and regard one has for spiritual matters.;;;;;;;;;;;;x
STAT_PIETY_HONOUR;Honour;;;;;;;;;;;;x
MONTHLY_PIETY_HONOUR;Monthly Honour Increase;;;;;;;;;;;;x
STAT_PIETY_MENU_HONOUR;Honour;;;;;;;;;;;;x
STAT_PIETY_DESC_HONOUR;Honour represents the true strength of the individual.;;;;;;;;;;;;x
STAT_PIETY_FREEDOM;Freedom;;;;;;;;;;;;x
MONTHLY_PIETY_FREEDOM;Monthly Freedom Increase;;;;;;;;;;;;x
STAT_PIETY_DESC_FREEDOM;Freedom represents the true strength of the individual.;;;;;;;;;;;;x
STAT_PIETY_EQUALITY;Equality;;;;;;;;;;;;x
MONTHLY_PIETY_EQUALITY;Monthly Equality Increase;;;;;;;;;;;;x
STAT_PIETY_DESC_EQUALITY;Equality represents the true strength of the individual.;;;;;;;;;;;;x
STAT_PIETY_CIVILITY;Civility;;;;;;;;;;;;x
MONTHLY_PIETY_CIVILITY;Monthly Civility Increase;;;;;;;;;;;;x
STAT_PIETY_DESC_CIVILITY;Civility represents the true strength of the individual.;;;;;;;;;;;;x

#Tooltips
ANL_TOOLTIP_00;Disables all special Casus Belli.;;;;;;;;;;;;x
ANL_TOOLTIP_01;Enables Reclamation CB for all Air Nomads, and allows Air Nihilist's to use the Seize Province CB.;;;;;;;;;;;;x
ANL_TOOLTIP_02;Enables Reclamation CB and Seize Province CB for all Air Nomads, and allows  Air Nihilist's to use the Seize Duchy CB.;;;;;;;;;;;;x
ANL_TOOLTIP_03;Enables Reclamation CB, Seize Duchy and Seize Province CB for all Air Nomads.;;;;;;;;;;;;x
has_RA_for_law_change;Has 100% Royal Authority;;;;;;;;;;;;x
ATLA_LAWS_TOOLTIP_08;The Phoenix King's is the supreme ruler of the world.;Terre Roi;;;;;;;;;;;;x
ATLA_LAWS_TOOLTIP_R_01;Requires Royal Mail Service\n;Terre Roi;;;;;;;;;;;;x
ATLA_LAWS_TOOLTIP_R_02;Requires Royal Guard\n;Terre Roi;;;;;;;;;;;;x
ATLA_LAWS_TOOLTIP_R_03;Requires Watch the Watchman\n;Terre Roi;;;;;;;;;;;;x
ATLA_LAWS_TOOLTIP_R_04;Requires Royal Rights\n;Terre Roi;;;;;;;;;;;;x
ATLA_LAWS_TOOLTIP_R_05;Requires Secure the Palace\n;Terre Roi;;;;;;;;;;;;x
ATLA_LAWS_TOOLTIP_R_06;Requires Seize Power\n;Terre Roi;;;;;;;;;;;;x
ATLA_LAWS_TOOLTIP_R_07;Requires Strong Rule\n;Terre Roi;;;;;;;;;;;;x
