#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
String_Moon_water;Tui;;;;;;;;;;;;;x
string_flying;flying;;;;;;;;;;;;;x
randomSkybisonEastern;Gege|Didi|Jiejie|Meimei|Pengsong|Pengpeng|Feng|Yun|Shandian|Shanshan|Jianshi|Sharad|Basanta;;;;;;;;;;;;;x
randomSkybisonEnglish;Arrow|Lefty|Wind|Peace|Sky|Heaven|Autumn|Fall|Spring;;;;;;;;;;;;;x
randomSkybisonMixed;Gege|Didi|Jiejie|Meimei|Pengsong|Pengpeng|Feng|Yun|Shandian|Shanshan|Jianshi|Sharad|Basanta|Arrow|Lefty|Wind|Peace|Sky|Heaven|Autumn|Fall|Spring;;;;;;;;;;;;;x
string_temple;temple;;;;;;;;;;;;;x
string_temple_cap;Temple;;;;;;;;;;;;;x
string_prayer_ATLA;Prayer;;;;;;;;;;;;;x
String_pet_name_eastern_elder_brother;Gege;;;;;;;;;;;;;x
String_pet_name_eastern_younger_brother;Didi;;;;;;;;;;;;;x
String_pet_name_eastern_elder_sister;Jiejie;;;;;;;;;;;;;x
String_pet_name_eastern_younger_sister;Meimei;;;;;;;;;;;;;x
String_pet_name_eastern_fluffy;Pengsong;;;;;;;;;;;;;x
String_pet_name_eastern_fluffy2;Pengpeng;;;;;;;;;;;;;x
String_pet_name_eastern_wind;Feng;;;;;;;;;;;;;x
String_pet_name_eastern_cloud;Yun;;;;;;;;;;;;;x
String_pet_name_eastern_lightning;Shandian;;;;;;;;;;;;;x
String_pet_name_eastern_lightning2;Shanshan;;;;;;;;;;;;;x
String_pet_name_eastern_arrow;Jianshi;;;;;;;;;;;;;x
String_pet_name_eastern_nepali_autumn;Sharad;;;;;;;;;;;;;x
String_pet_name_eastern_nepali_spring;Basanta;;;;;;;;;;;;;x
String_pet_name_english_arrow;Arrow;;;;;;;;;;;;;x
String_pet_name_english_lefty;Lefty;;;;;;;;;;;;;x
String_pet_name_english_wind;Wind;;;;;;;;;;;;;x
String_pet_name_english_peace;Peace;;;;;;;;;;;;;x
String_pet_name_english_sky;Sky;;;;;;;;;;;;;x
String_pet_name_english_heaven;Heaven;;;;;;;;;;;;;x
String_pet_name_english_autumn;Autumn;;;;;;;;;;;;;x
String_pet_name_english_autumn2;Fall;;;;;;;;;;;;;x
String_pet_name_english_spring;Spring;;;;;;;;;;;;;x
