EVTDESCbending.94;After years of trying, I still can't bend at all! I don't understand why I can't when everyone else can.;;;;;;;;;x
EVTDESCbending.95;Today, [From.GetFirstName] came and asked you when they will start bending like you. As time wears on, it's becoming increasingly apparent [From.GetSheHe] never will.;;;;;;;;;x
EVTOPTAbending.95;Maybe you're a late bloomer.;;;;;;;;;x
EVTOPTBbending.95;It's common that some never learn...;;;;;;;;;x
EVTDESCbending.96;My [GetFromRelation] says that I still might bend one day.;;;;;;;;;x
EVTOPTAbending.96;Obviously [From.GetSheHe] is just trying to make me feel better.;;;;;;;;;x
EVTDESCbending.97;My [GetFromRelation] says that some people never bend...;;;;;;;;;x
EVTOPTAbending.97;I wanted too though...;;;;;;;;;x
EVTDESCbending.98;It appears [From.GetFirstName] has finally begun to Airbend, eager to make a mess of things and to start learning how to play air ball.;;;;;;;;;x
EVTDESCbending.99;[From.GetFirstName] came to you today and created a gust of wind that almost swept you off your feet.;;;;;;;;;x
EVTOPTAbending.98;[From.GetSheHe] will be very happy.;;;;;;;;;x
EVTOPTBbending.98;[From.GetFirstName] is an Airbender.;;;;;;;;;x
EVTDESCbending.100;After spending weeks training with the Healers, I was able to use my Waterbending to heal others!;;;;;;;;;x
EVTOPTAbending.100;I'm a healer now!;;;;;;;;;x
EVTDESCbending.101;[From.GetFirstName] has been spending a great deal of time with the Healers, and now, [From.GetSheHe] too has learned how mend wounds with Waterbending.;;;;;;;;;x
EVTOPTAbending.101;I'm proud.;;;;;;;;;x
EVTOPTBbending.101;[From.GetFirstName] has done well.;;;;;;;;;x
EVTOPTCbending.101;Healing's not a warrior's duty.;;;;;;;;;x
EVTDESCbending.102;One day, after being scolded, you feel so angry you could literally explode. Shouting in rage, you do.;;;;;;;;;x
EVTOPTAbending.102;Wow! Look what I can do!;;;;;;;;;x
EVTDESCbending.103;You hear an explosion outside. Rushing out, you find [From.GetFirstName] lying wounded in a smouldering crater. After rushing to treat their injuries, you learn [From.GetFirstName] caused this catastrophe with some kind of bending.;;;;;;;;;x
EVTOPTAbending.103;This ability is much too dangerous!;;;;;;;;;x
EVTDESCbending.104;You hear an explosion outside. Rushing out, you find [From.GetFirstName] creating these explosions with some kind of Firebending as [From.GetSheHe] happily blasting apart everything in sight.;;;;;;;;;x
EVTOPTAbending.104;What an extraordinary ability! Please stop!;;;;;;;;;x
