EVTNAMEWSTLIBRARY.1;Wan Shi Tong's Library;;;;;;;;;;;;x
EVTDESCWSTLIBRARY.1;My search of the Si Wong Desert for lost knowledge has borne fruit, for today I have stumbled upon an ancient library. The library's guardian, knowledge spirit Wan Shi Tong, has permitted me to browse his vast collection on the condition that anything learned not be used for evil. With my canteen half empty, my time is limited and I am in two minds about what I should research.;;;;;;;;;;;;x
EVTOPTAWSTLIBRARY.1;Knowledge for Knowledge's Sake;;;;;;;;;;;;x
EVTOPTBWSTLIBRARY.1;Knowledge to Destroy Our Enemies;;;;;;;;;;;;x
EVTTOOLTIPWSTLIBRARY.2;Send a letter to [Root.Liege.GetTitledName]!;;;;;;;;;;;;x
EVTDESCWSTLIBRARY.2;My liege, I have discovered an ancient library in the [From.Location.GetName] area of the Si Wong Desert. I believe some of the ancient tomes I studied can help in our nation's economic and cultural advancement. Summaries of these books have been enclosed here. I hope you will find this to your satisfaction.\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;;x
EVTOPTAWSTLIBRARY.2;Wonderful!;;;;;;;;;;;;x
EVTTOOLTIPWSTLIBRARY.3;Your intent goes unnoticed by Wan Shi Tong;;;;;;;;;;;;x
EVTNAMEWSTLIBRARY.3;Deceiving An All-Knowing Spirit;;;;;;;;;;;;x
EVTDESCWSTLIBRARY.3;I spent the few days I had researching weapons, enemy weaknesses, and military strategy. When questioned by a suspicious Wan Shi Tong, I answered that I am writing a historical fiction novel and wanted to get the details right. After a snide remark on my intelligence, he continued on his way. I completed my research and left the library with just enough water to return to civilisation.;;;;;;;;;;;;x
EVTOPTAWSTLIBRARY.3;Bright enough to fool you...;;;;;;;;;;;;x
EVTTOOLTIPWSTLIBRARY.4;Send a letter to [Root.Liege.GetTitledName]!;;;;;;;;;;;;x
EVTDESCWSTLIBRARY.4;My liege, I have discovered an ancient library in the [From.Location.GetName] area of the Si Wong Desert. I believe some of the ancient tomes I studied can help in our nation's military advancement. Summaries of these books have been enclosed here. I hope you will find this to your satisfaction.\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;;x
EVTOPTAWSTLIBRARY.4;Excellent!;;;;;;;;;;;;x
EVTTOOLTIPWSTLIBRARY.5;Your intent is discovered by Wan Shi Tong;;;;;;;;;;;;x
EVTNAMEWSTLIBRARY.5;He Who Knows Ten-Thousand Things;;;;;;;;;;;;x
EVTDESCWSTLIBRARY.5;I spent the few days I had researching weapons, enemy weaknesses, and military strategy. I asked one of the Knowledge Seekers where I might find a topological map of the enemy's capital, letting slip that it would be useful during a siege. To my horror, I found a furious Wan Shi Tong standing behind me. He accused me of betraying his trust, and intending to misuse knowledge for evil.;;;;;;;;;;;;x
EVTOPTAWSTLIBRARY.5;Please, I'm desperate to protect the people I love!;;;;;;;;;;;;x
EVTTOOLTIPWSTLIBRARY.6;Send a letter to [Root.Liege.GetTitledName]!;;;;;;;;;;;;x
EVTDESCWSTLIBRARY.6;My liege, I have discovered an ancient library in the [From.Location.GetName] area of the Si Wong Desert. While researching some of the ancient tomes to help in our nation's military advancement, I was attacked by the library's guardian spirit, barely managing to escape alive. From memory, I have written summaries of the few books I studied, enclosed here. I hope you will find this to your satisfaction.\n\nYour humble Spymaster,\n[From.GetTitledName];;;;;;;;;;;;x
EVTOPTAWSTLIBRARY.6;Better than nothing;;;;;;;;;;;;x
EVTTOOLTIPWSTLIBRARY.7;Wan Shi Tong reacts;;;;;;;;;;;;x
EVTDESCWSTLIBRARY.7;I caught your Spymaster intending to abuse the knowledge of my library for evil purposes. They have met with an appropriate end. Choose your advisors more carefully.\n\nHe Who Knows Ten-Thousand Things,\nWan Shi Tong;;;;;;;;;;;;x
EVOPTAWSTLIBRARY.7;Curse you, Spirit!;;;;;;;;;;;;x
