CODE;ENGLISH;;;;;;;;;;;x
#Events
EVTTITLE_new_avatar_journey_1_the_leaving;The Leaving;;;;;;;;;;;x
EVTDESC_new_avatar_journey_1_fire;The Fire Sages told me about my training.\nI have to leave my own home, my Nation, my parents and friends, to see the World, to master all four elements, to become the True Avatar, to keep the balance in the Universe.\nFirst, I will go to the Air Nomads. There I will be taught not only airbending, but meditation and concentration.\nThen, to the Water Tribes. Water is the most difficult for fire avatars to master.\nThe Earth Kingdom is vast. Teachers are honoured there. The earth teaches strength and discipline.\nAfter learning all the elements, I will learn to control the state of the Avatar;;;;;;;;;;;x
EVTDESC_new_avatar_journey_1_air;The Elders told me of my training. I must leave my home, my people, my friends and teachers to see the world, to master all four elements, to become a True Avatar, to keep the universe in balance. I will first go to the Water tribes. The Earth Kingdom is vast. Teachers are revered there. The Earth teaches strength and discipline. The Earth is most difficult for Airbenders to comprehend. Then I will go to the Fire Nation. After learning all the elements, I will learn how to control the Avatar state.;;;;;;;;;;;x
EVTDESC_new_avatar_journey_1_water;The Old Ones told me about my training. I must leave my home, my people, my friends and teachers to see the world, to master all four elements, to become a True Avatar, to keep the universe in balance. I will first go to the Earth Realm. The Earth Kingdom is vast. Teachers are revered there. The Earth teaches strength and discipline. Then I will go to the Fire Nation, fire is most difficult for waterbenders to learn. In the end I will spend months meditating on the peaks of the highest mountains of the Lands of Air Nomads. After learning all the elements, I will learn how to control the Avatar state.;;;;;;;;;;;x
EVTDESC_new_avatar_journey_1_earth;The Old Ones told me about my training. I must leave my home, my people, my friends and teachers to see the world, to master all four elements, to become a True Avatar, to keep the universe in balance. First I will travel to the Fire Nation, where dragons live on distant islands. Then I will travel to the Air Nomads, the air is most difficult for earthbenders. At the end I will have to learn waterbending among the ice and icebergs. After learning all the elements, I will learn how to control the Avatar state.;;;;;;;;;;;x
EVTOPT_new_avatar_journey_1_water;I'll travel to Water Tribes;;;;;;;;;;;x
EVTOPT_new_avatar_journey_1_earth;I'll travel to Earth Kingdom;;;;;;;;;;;x
EVTOPT_new_avatar_journey_1_fire;I'll travel to Fire Nation;;;;;;;;;;;x
EVTOPT_new_avatar_journey_1_air;I'll travel to Air Nomads;;;;;;;;;;;x
EVTTITLE_new_avatar_journey_2;Worldly Things;;;;;;;;;;;x
EVTDESC_new_avatar_journey_2_water;I was already starting to pack my things, but soon the elders came and told me that I wouldn't need worldly things anymore. Before they left, they left a gift, a basket of fruit and a stack of ring-like coins. That should be enough for the journey and supplies.;;;;;;;;;;;x
EVTDESC_new_avatar_journey_2_earth;I was already starting to pack my things, but soon the sages came and told me that I wouldn't need worldly things anymore. Before they left, they left a gift, a basket of fruit and a stack of coins. That should be enough for the journey and supplies.;;;;;;;;;;;x
EVTDESC_new_avatar_journey_2_fire;I was already starting to pack my things, but soon the fire sages came and told me that I wouldn't need worldly things anymore. Before they left, they left a gift, a basket of fruit and a stack of knife-shaped coins. That should be enough for the journey and supplies.;;;;;;;;;;;x
EVTDESC_new_avatar_journey_2_air;I was already starting to pack my things, but soon the elders came and told me that I wouldn't need worldly things anymore. I'm only supposed to take my staff and comb. Before they left, they left a gift, a basket of fruit and a stack of coins. That should be enough for the journey and supplies.;;;;;;;;;;;x
EVTOPT_new_avatar_2_thanks;I appreciate it;;;;;;;;;;;x
EVTOPT_new_avatar_2_asceticism;I am very grateful, but as you said, I will no longer need worldly things.;;;;;;;;;;;x
EVTOPT_new_avatar_2_greed;I beg your pardon, shouldn't the Avatar be treated with more reverence?;;;;;;;;;;;x
EVTDESC_new_avatar_journey_3_water;A couple of days later, the elders came again. There wasn't much time left, and soon it would be time me to leave. They said there were several ships lined up at the port. Simple fishermen, merchants, aristocrats, and even the chief himself, wish to provide ships for the Avatar's voyage to other lands.;;;;;;;;;;;x
EVTDESC_new_avatar_journey_3_earth;A couple of days later, the sages came again. There wasn't much time left, and soon it would be time me to leave. They said there was a whole line of barges and junks lined up at the port. Simple fishermen, merchants, aristocrats, and even The King himself, wish to provide ships for the Avatar's voyage to other lands.;;;;;;;;;;;x
EVTDESC_new_avatar_journey_3_fire;A couple of days later, the fire sages came again. There wasn't much time left, and soon it would be time me to leave. They said there was a whole line of barges and junks lined up at the port. Simple fishermen, merchants, aristocrats, and even Firelord himself, wish to provide ships for the Avatar's voyage to other lands.;;;;;;;;;;;x
EVTDESC_new_avatar_journey_3_air;A couple of days later, the elders came again. There wasn't much time left, and soon it would be time me to leave. They say they have provided escorts for me on flying bison. I won't have to fly to the water tribes alone.;;;;;;;;;;;x
EVTOPT_new_avatar_3_fishing_boat;Fishing Boat;;;;;;;;;;;x
new_avatar_3_tooltip_fishing_boat;Slow but practical;;;;;;;;;;;x
EVTOPT_new_avatar_3_merchant_ship;Merchant Ship;;;;;;;;;;;x
new_avatar_3_tooltip_merchant_ship;Fast and maneuverable;;;;;;;;;;;x
EVTOPT_new_avatar_3_nobleman_ship;Nobleman's ship;;;;;;;;;;;x
new_avatar_3_tooltip_nobleman_ship;Luxury and fast;;;;;;;;;;;x
EVTOPT_new_avatar_3_firelord_junk;One of the Fire Lord's personal ships;;;;;;;;;;;x
new_avatar_3_tooltip_firelord_junk;The best of the best;;;;;;;;;;;x
EVTOPT_new_avatar_3_air_escort;OK;;;;;;;;;;;x
available_because_fire_lord_tt;Available because you are at Fire Lord's court;;;;;;;;;;;x
EVTTITLE_new_avatar_journey_10;Journey to [avatar_journey_target.GetTitledFirstName];;;;;;;;;;;x
EVTDESC_new_avatar_journey_10;I decided to go on a trip to §Y[avatar_journey_target.PrimaryTitle.GetName]§! to [avatar_journey_target.GetTitledFirstName].;;;;;;;;;;;x
EVTOPT_new_avatar_journey_10;Let's go!;;;;;;;;;;;x
EVTOPT_new_avatar_journey_10_i_changed_my_mind;I changed my mind;;;;;;;;;;;x
#EVTTITLE_new_avatar_journey_50_arrival_at_court;Arrival at [avatar_journey_target.GetFirstName]'s court;;;;;;;;;;;x
EVTDESC_new_avatar_journey_50_arrival_at_court;Welcome, my Avatar, it is an honor for us to receive such a guest!;;;;;;;;;;;x
EVTOPT_new_avatar_journey_50;Greetings, [avatar_journey_target.GetTitledFirstName];;;;;;;;;;;x
# WATER TRIBES
EVTTITLE_new_avatar_journey_100_to_water_tribes;Journey to The Water Tribes;;;;;;;;;;;x
EVTDESC_new_avatar_journey_100_to_water_tribes;Water tribes spread out over the South and North Poles. Once upon a time, the Water Tribes were one united nation under the North, but then some of the people migrated to the South, and founded the Southern Water Tribe.\nThe North, under a single leader, has always been more hierarchical, and women have traditionally been forbidden to learn the fighting styles of waterbending, they have been taught healing.\nThe South, on the other hand, was divided into many independent chiefdoms, allowed women to learn fighting styles, but was less developed than the North.;;;;;;;;;;;x
EVTOPT_new_avatar_journey_100_to_water_tribes_nortern;I'm going to the Northern Water Tribe!;;;;;;;;;;;x
EVTTITLE_new_avatar_journey_101_northern_water_tribe;The Northen Water Tribe;;;;;;;;;;;x
EVTDESC_new_avatar_journey_101_northern_water_tribe;You arrive at the icy walls of Agna Qel'a, the capital of the Northern Water Tribe. You are welcomed by border guards and escorted to the chief's palace;;;;;;;;;;;x
EVTOPT_new_avatar_journey_101_northern_water_tribe;There is so much ice and snow here;;;;;;;;;;;x
EVTTITLE_new_avatar_journey_102_nwt_feast;The Avatar Feast;;;;;;;;;;;x
EVTDESC_new_avatar_journey_102_nwt_feast;[northern_water_chief.GetTitledName] invited you to a feast in your honor;;;;;;;;;;;x
new_avatar_journey.102.opt;Of course I will come!;;;;;;;;;;;x
new_avatar_journey.103.title;The Avatar Feast;;;;;;;;;;;x
new_avatar_journey.103.desc;The feast took place in the palace of the Chief. Once everyone was assembled and seated, the drums rang out. A giant crab was dipped in boiling water in the center of the hall, and then the drums stopped. \nAnd after a short pause, the [northern_water_chief.GetTitledName] declared, "Today we celebrate the arrival of a very special guest... Avatar [GetFirstName]!"\nThe crowd clapped\n[northern_water_chief.GetSheHeCap] continued: And now Master [waterbending_master.GetFirstName] and his disciples will perform!;;;;;;;;;;;x
new_avatar_journey.103.opt;Master [waterbending_master.GetFirstName]...;;;;;;;;;;;x
new_avatar_journey_104.title.nwt_teacher;Master [waterbending_master.GetFirstName];;;;;;;;;;;x
new_avatar_journey_104.desc;At the feast you are introduced to a waterbending master [waterbending_master.GetFirstName]. [waterbending_master.GetHerHis] said, "Good evening, Avatar. It is an honor for me to become your teacher."\nYou say, "Thank you, Master [waterbending_master.GetFirstName]. It's an honor for me, too."\n[waterbending_master.GetHerHis] said, "Well, I expect you in the square tomorrow at dawn", and added, "and don't think that because tonight is a feast in your honor, you can be late". You bowed and went on celebrating.;;;;;;;;;;;x
new_avatar_journey_104.opt;I finally found a teacher.;;;;;;;;;;;x
new_avatar_journey.105.desc;Next morning you wake up at dawn and head to the square. When you arrive, you see Master [waterbending_master.GetFirstName] teaching waterbending to two young men. You walk over to them and you started your training.\nThe teacher puts you in sparring against his students time after time, and soon you start to be good at it.;;;;;;;;;;;x
new_avatar_journey.105.desc.fire;Next morning you wake up at dawn and head to the square. When you arrive, you see Master [waterbending_master.GetFirstName] teaching waterbending to two young men. You walk over to them and you started your training.\nTime after time the teacher puts you in sparring against his students, but you never succeed, and instead of water you always get just fire.;;;;;;;;;;;x
new_avatar_journey.105.opt.1;Good sparring;;;;;;;;;;;x
new_avatar_journey.105.opt.2;Teacher! I want to learn more about waterbending!!;;;;;;;;;;;x
new_avatar_journey.106.title;The Legend of Tui and La;;;;;;;;;;;x
new_avatar_journey.106.desc;After the first day of my training, Master [waterbending_master.GetFirstName] approached and said, "It's time to tell you about the nature of the Waterbeding.\nThe legends say the moon was the first waterbender. Our ancestors saw how it pushed and pulled the tides, and learned how to do it themselves. Our strength comes from the spirit of the moon (Tui), our life comes from the spirit of the ocean (La). They work together to keep balance. If you learn to imitate the moon, your understanding of waterbending will improve greatly.\nIf you want to learn more about waterbending, you'll have to wait a few more days until the next full moon.";;;;;;;;;;;x
new_avatar_journey.106.opt;Thank you teacher;;;;;;;;;;;x
new_avatar_journey.107.title;Spirit Oasis;;;;;;;;;;;x
new_avatar_journey.107.desc;A couple of days later, after another training session, when I was about to go to my quarters, Master [waterbending_master.GetFirstName] stopped me and led to the chieftain's palace courtyard.\nA huge wooden door concealed the entrance to a mysterious, very strange place: in the middle of the icy mountains there was a warm oasis in which two fish were swimming, and around it grew grass and trees.\nMaster explained, "This place is a centre for all the spiritual power of the North Pole."\nBy that time the full moon had set, and you felt a mixture of calm, contentment, and a burst of energy.;;;;;;;;;;;x
new_avatar_journey.107.opt;It's so... peaceful here;;;;;;;;;;;x
new_avatar_journey.108.title;Meditation;;;;;;;;;;;x
new_avatar_journey.108.desc;The Master [waterbending_master.GetFirstName] tells you not to forget that you have come here to learn, not to have fun. He then sits down beside the pond in a meditation pose and tells you to do the same. You obey.\nThe Master says, "Well, now concentrate on the movement of these two koi fish. They were the ones that once taught me, perhaps they will teach you too." And adds: "Don't forget your breathing."\nAfter a while, you feel something special. Everything around you is gone, there is no master, no grass, no trees. There is only water, the moon, and these two fish.\nAnd so you sit there until dawn, when the glare on the water brings you out of your trance.;;;;;;;;;;;x
