#CODE;ENGLISH;;;;;;;;;;x


## Trait Opinion 

lunatic_opinion;Lunatic Character Opinion;;;;;;;;;;x
arbitrary_opinion;Arbitrary Character Opinion;;;;;;;;;;x
trusting_opinion;Trusting Character Opinion;;;;;;;;;;x
kind_opinion;Kind Character Opinion;;;;;;;;;;x
greedy_opinion;Kind Character Opinion;;;;;;;;;;x
cruel_opinion;Cruel Character Opinion;;;;;;;;;;x
strong_opinion;Strong Character Opinion;;;;;;;;;;x
duelist_opinion;Duelist Character Opinion;;;;;;;;;;x



#Earthkingdom Culture Group#
earth_kingdom_cultures_opinion;Earth Kingdom Opinion;;;;;;;;;;x
ba_sing_se_culture_opinion;Ba Sing Se Opinion;;;;;;;;;;x
northern_earth_culture_opinion;Northern Earth Opinion;;;;;;;;;;x
eastern_earth_culture_opinion;Eastern Earth Opinion;;;;;;;;;;x
southern_earth_culture_opinion;Southern Earth Opinion;;;;;;;;;;x
western_earth_culture_opinion;Western Earth Opinion;;;;;;;;;;x
earth_islander_opinion;Earth Islander Opinion;;;;;;;;;;x
sandbender_culture_opinion;Sandbender Opinion;;;;;;;;;;x
barbarian_culture_opinion;Barbarians Opinion;;;;;;;;;;x
colonial_earth_fire_opinion;Colonial Earth Fire Opinion;;;;;;;;;;x
colonial_earth_water_opinion;Colonial Earth Water Opinion;;;;;;;;;;x
colonial_earth_air_opinion;Colonial Earth Air Opinion;;;;;;;;;;x
omashuan_opinion;Omashuan Opinion;;;;;;;;;;x


#Fire Nation Culture Group#
fire_nation_cultures_opinion;Fire Opinion;;;;;;;;;;x
fire_imperial_culture_opinion;Fire Nation Opinion;;;;;;;;;;x
fire_islander_opinion;Fire Islander Opinion;;;;;;;;;;x
southern_raider_opinion;Southern Raider Opinion;;;;;;;;;;x
sun_warrior_opinion;Sun Warrior Opinion;;;;;;;;;;x
colonial_opinion;Colonial Opinion;;;;;;;;;;x
colonial_fire_water_opinion;Colonial Fire Water Opinion;;;;;;;;;;x
colonial_fire_air_opinion;Colonial Fire Air Opinion;;;;;;;;;;x

#Air Nomad Culture Group#
air_nomad_cultures_opinion;Air Nomad Opinion;;;;;;;;;;x
northern_air_nomad_opinion;Northern Air Opinion;;;;;;;;;;x
