si_wong_trail;Si Wong Trail;;;;;;;;;;;x
southern_earth_trade_route;Southern Earth Trade Route;;;;;;;;;;;x
northern_earth_trade_route;Northern Earth Trade Route;;;;;;;;;;;x
eastern_earth_trade_route;Eastern Earth Trade Route;;;;;;;;;;;x
western_earth_trade_route;Western Earth Trade Route;;;;;;;;;;;x
water_tribes_trade_route;Polar Trade Routes;;;;;;;;;;;x
fire_island_trade_route;Fire Islands Trade Route;;;;;;;;;;;x
royal_trade_offices_1;Royal Trade Offices Level I;;;;;;;;;;;x
royal_trade_offices_2;Royal Trade Offices Level II;;;;;;;;;;;x
royal_trade_offices_3;Royal Trade Offices Level III;;;;;;;;;;;x
earthbender_garrison_1;Earthbender Garrison Level I;;;;;;;;;;;x
earthbender_garrison_2;Earthbender Garrison Level II;;;;;;;;;;;x
earth_university_branch_1;Earth University Branch Level I;;;;;;;;;;;x
firenation_trade_bureau_1;Fire Nation Trade Bureau Office Level I;;;;;;;;;;;x
firenation_trade_bureau_2;Fire Nation Trade Bureau Office Level II;;;;;;;;;;;x
firenation_trade_bureau_3;Fire Nation Trade Bureau Office Level III;;;;;;;;;;;x
dragon_guard_garrison_1;Dragon Guard Garrison Level I;;;;;;;;;;;x
dragon_guard_garrison_2;Dragon Guard Garrison Level II;;;;;;;;;;;x
royal_fire_academy_1;Royal Fire Academy Level I;;;;;;;;;;;x
watertribe_trade_port_1;Water Tribe Trade Port Level I;;;;;;;;;;;x
watertribe_trade_port_2;Water Tribe Trade Port Level II;;;;;;;;;;;x
watertribe_trade_port_3;Water Tribe Trade Port Level III;;;;;;;;;;;x
waterbender_garrison_1;Waterbender Garrison Level I;;;;;;;;;;;x
waterbender_garrison_2;Waterbender Garrison Level II;;;;;;;;;;;x
waterbending_school_1;Waterbending School Level I;;;;;;;;;;;x
southern_earth_trade_province_desc;This province is marked eligible for a §YPotential Trade Route§! (Use Trade Zones map mode for more info);;;;;;;;;;;x
eastern_earth_trade_province_desc;This province is marked eligible for a §YPotential Trade Route§! (Use Trade Zones map mode for more info);;;;;;;;;;;x
fire_island_trade_province_desc;This province is marked eligible for a §YPotential Trade Route§! (Use Trade Zones map mode for more info);;;;;;;;;;;x
water_tribes_trade_province_desc;This province is marked eligible for a §YPotential Trade Route§! (Use Trade Zones map mode for more info);;;;;;;;;;;x
western_earth_trade_province_desc;This province is marked eligible for a §YPotential Trade Route§! (Use Trade Zones map mode for more info);;;;;;;;;;;x
northern_earth_trade_province_desc;This province is marked eligible for a §YPotential Trade Route§! (Use Trade Zones map mode for more info);;;;;;;;;;;x
si_wong_trail_province_desc;This province is marked eligible for a §YPotential Trade Route§! (Use Trade Zones map mode for more info);;;;;;;;;;;x
