has_RA_for_law_change_20;Has §Y20%§! Royal Authority;;;;;;;;;;;;;x
has_RA_for_law_change_40;Has §Y40%§! Royal Authority;;;;;;;;;;;;;x
has_RA_for_law_change_50;Has §Y50%§! Royal Authority;;;;;;;;;;;;;x
has_RA_for_law_change_60;Has §Y60%§! Royal Authority;;;;;;;;;;;;;x
has_RA_for_law_change_80;Has §Y80%§! Royal Authority;;;;;;;;;;;;;x
has_RA_for_law_change_100;Has §Y100%§! Royal Authority;;;;;;;;;;;;;x
<<<<<<< Updated upstream
succ_earth_king;Badgermole Throne;;;;;;;;;;;;;
succ_earth_king_desc;Badgermole Throne Succession is a special elective succession type that Earth kingdom uses. Ruler, Councilors, Ruler Consorts, Ruler Relatives, Commanders and Strong Vassals are Electors. Ruler has 10 votes, Relatives 4 votes, Commanders 6 ,Councilors 8, Powerful vassals 6. Only Former ruling dynasty members, Current ruling dynasty members, Claimants and Bloodline Holders are considered valid candidates.;;;;;;;;;;;;;
=======
succ_earth_king;Earth Kingdom Elective;;;;;;;;;;;;;
succ_earth_king_desc;Earth Kingdom Elective is the unique succession law used to determine the next monarch to grace the Badgermole Throne. In the current lord's court, each ruler, councilor, consort, relative, commander and powerful vassal is considered eligible to vote. Their influence is broken down by their status -- vassal rulers have 10 votes, councilors have 8, powerful vassals and commanders have 6, and relatives have 4. Only former ruling dynasty members, current ruling dynasty members, claimants, and those related by the ancient bloodline of the Earth Kingdom  are considered valid candidates.;;;;;;;;;;;;;
>>>>>>> Stashed changes
