#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
omashuan_walls_1;Omashuan Walls;;;;;;;;;;;x
omashuan_walls_1_desc;These walls, although not as magnificent as the walls surrounding the ancient City, are designed to be just as obstinate for any opposing forces.;;;;;;;;;;;x
omashuan_walls_2;Omashuan Walls;;;;;;;;;;;x
omashuan_walls_2_desc;These walls, although not as magnificent as the wall surrounding the ancient City, are designed to be just as obstinate for any opposing forces.;;;;;;;;;;;x
#
gujian_dikes_1;The Gujian Dikes;;;;;;;;;;;x
gujian_dikes_1_desc;Built with the power of Omashuan earthbending and ingenuity, the Gujian River Dikes are the first line of defense against incursions from the East.;;;;;;;;;;;x
#
omashuan_delivery_1;Omashu Delivery System;;;;;;;;;;;x
omashuan_delivery_1_desc;The Omashu delivery system is a complex system of chutes that are used to transport mail and packages throughout the city. The system consists of a series of slides and chutes through which various parcels travel in order to arrive at a certain destination. Earthbending sends the packages up the slides, while gravity moves them down. The slides are outfitted with numerous loading points, which also operate through earthbending.;;;;;;;;;;;x
