#Buildings

scaley_shore;Scaley Shore;;;;;;;;;;;x
scaley_shore_desc;Stirring beneath the waves, the Serpent quietly moves up and down the coastline, depositing its vibrant scales across the shores of the Earth Kingdom.;;;;;;;;;;;x
clutch_of_eggs;Clutch of Eggs;;;;;;;;;;;x
clutch_of_eggs_desc;Feeling almost friendly with the adolation it has received, the Serpent lays clutches of eggs near the coast, looking to expand its brood.;;;;;;;;;;;x
playful_brood;Playful Brood;;;;;;;;;;;x
playful_brood_desc;With the gentle tending of the Caretakers, the clutches of eggs along the shore have become entire hatcheries, with the Serpent's offspring playing and socializing with nearby followers.;;;;;;;;;;;x

caretaker_wall_1;Caretakers' Walls;;;;;;;;;;;x
caretaker_wall_2;Caretakers' Walls;;;;;;;;;;;x
caretaker_wall_3;Caretakers' Walls;;;;;;;;;;;x
caretaker_wall_desc;Built by the Caretakers, these walls serve as the aegis for the teeming brood of the Great Serpent.;;;;;;;;;;;x

sunken_temple_1;Sunken Temple;;;;;;;;;;;x
sunken_temple_2;Sunken Temple;;;;;;;;;;;x
sunken_temple_3;Sunken Temple;;;;;;;;;;;x
sunken_temple_4;Sunken Temple;;;;;;;;;;;x
sunken_temple_desc;A collaborative effort between Earthbenders and Waterbenders, Sunken Temples are massive structures just off the coast, expanding into complex labyrinths underneath the water. Must be built coastally.;;;;;;;;;;;x

giant_serpent_statue_1;Great Serpent Statue;;;;;;;;;;;x
giant_serpent_statue_2;Great Serpent Statue;;;;;;;;;;;x
giant_serpent_statue_3;Great Serpent Statue;;;;;;;;;;;x
giant_serpent_statue_4;Great Serpent Statue;;;;;;;;;;;x
giant_serpent_statue_5;Great Serpent Statue;;;;;;;;;;;x
giant_serpent_statue_6;Great Serpent Statue;;;;;;;;;;;x

sanctuary_of_scales_1;Sanctuary of Scales;;;;;;;;;;;x
sanctuary_of_scales_2;Sanctuary of Scales;;;;;;;;;;;x
sanctuary_of_scales_3;Sanctuary of Scales;;;;;;;;;;;x
sanctuary_of_scales_4;Sanctuary of Scales;;;;;;;;;;;x
sanctuary_of_scales_5;Sanctuary of Scales;;;;;;;;;;;x
sanctuary_of_scales_6;Sanctuary of Scales;;;;;;;;;;;x
sanctuary_of_scales_desc;Followers of the Great Serpent build elaborate sanctuaries to honour their lord, not just as a show of devotion but as an arsenal to protect their people.;;;;;;;;;;;x

serpent_militia_1;Pass-Runner Training Ground;;;;;;;;;;;x
serpent_militia_2;Pass-Runner Training Ground;;;;;;;;;;;x
serpent_militia_3;Pass-Runner Training Ground;;;;;;;;;;;x
serpent_militia_4;Pass-Runner Training Ground;;;;;;;;;;;x
serpent_militia_desc;Many young soldiers spend their childhoods running up and down the Pass, training their agility and endurance. This training ground is designed in such a way to simulate that experience.
Must be built coastally.;;;;;;;;;;;x

serpent_dojo_1;Serpent's Pass Dojo;;;;;;;;;;;x
serpent_dojo_2;Serpent's Pass Dojo;;;;;;;;;;;x
serpent_dojo_3;Serpent's Pass Dojo;;;;;;;;;;;x
serpent_dojo_desc;Although lacking the benders of other regions in the Earth Kingdom, rulers in the Serpent's Pass make up for it in their overwhelming numbers and naval expertise.
Must be built coastally.;;;;;;;;;;;x

serpent_tours_1;Guided Tours;;;;;;;;;;;x
serpent_tours_2;Guided Tours;;;;;;;;;;;x
serpent_tours_3;Guided Tours;;;;;;;;;;;x
serpent_tours_desc;Guided tours across Serpent's Pass, generating extra income.
Can only be built in the duchies containing the §GSerpent's Pass.§!;;;;;;;;;;;x

ct_monument_to_the_unagi_1;Monument to the Unagi;;;;;;;;;;;x
ct_monument_to_the_unagi_2;Monument to the Unagi;;;;;;;;;;;x
ct_monument_to_the_unagi_3;Monument to the Unagi;;;;;;;;;;;x
ct_monument_to_the_unagi_4;Monument to the Unagi;;;;;;;;;;;x
monument_to_the_unagi_1;Monument to the Unagi;;;;;;;;;;;x
monument_to_the_unagi_2;Monument to the Unagi;;;;;;;;;;;x
monument_to_the_unagi_3;Monument to the Unagi;;;;;;;;;;;x
monument_to_the_unagi_4;Monument to the Unagi;;;;;;;;;;;x
monument_to_the_unagi_desc;The powerful unagi are another breed of Giant Eel, dotted around the world, with some even living within the vicinity of Kyoshi Island.
Must be built coastally.;;;;;;;;;;;x

serpent_marketplace_1;Slithering Streetmarket;;;;;;;;;;;x
serpent_marketplace_2;Slithering Streetmarket;;;;;;;;;;;x
serpent_marketplace_3;Slithering Streetmarket;;;;;;;;;;;x
