province;red;green;blue;x;x
1;178;57;203;Arctic;x
2;209;142;221;Northern Air Mountains;x
3;163;0;192;Great Divide;x
4;114;60;125;Two Lovers Mountains;x
5;221;149;233;Fire Mountains;x
6;214;108;235;Antartic;x
7;70;191;225;Northern Water Tribe;x
8;29;125;153;North Pole;x
9;85;160;181;Taktok;x
10;163;200;210;Tatkret;x
11;73;200;235;Otok;x
12;33;136;164;Nutjuitok;x
13;133;154;160;Olikpok Isles;x
14;96;181;205;Piqaluyak;x
15;62;116;131;Qunbuq;x
16;92;129;140;Nigliktok;x
17;103;185;207;Mauragaaqtuq;x
18;44;107;126;Imaq;x
19;103;171;191;Imavaalua;x
20;0;150;255;Southern Water Tribe;x
21;48;125;179;Sufauraaqtaaq;x
22;35;96;139;Ufalak;x
23;35;131;198;Muqpaktuq;x
24;27;111;170;Misuitchuq;x
25;72;121;156;Kiibuyat;x
26;53;101;135;South Pole;x
27;94;115;129;Qixak;x
28;38;95;135;Imnaq;x
29;89;137;170;Qatiqtuq;x
30;37;110;161;Qiki;x
31;212;194;40;Southern Air Temple;x
32;239;197;52;Namtso;x
33;218;192;100;Kangrinboqe;x
34;186;168;15;Kangaroo Island;x
35;161;149;41;Lhasa;x
36;198;183;51;Amdo;x
37;150;136;19;Baingoin;x
38;149;121;26;Sangria;x
39;219;178;37;Lhari;x
40;211;201;117;Sambhota;x
41;153;107;41;Gorakhpur;x
42;213;154;70;Gaya;x
43;188;117;16;Varanasi;x
44;238;149;21;Eastern Air Temple;x
45;176;121;43;Lumbini;x
46;255;115;0;Northern Air Temple;x
47;195;95;14;Qonggyai;x
48;173;98;36;Gerse;x
49;172;124;85;Baqun;x
50;229;137;62;Laghima's Peak;x
51;174;125;84;Xainza;x
52;219;127;52;Zhag'yab;x
53;163;81;14;Dagze;x
54;191;104;31;Tianzhu;x
55;170;144;41;Western Air Temple;x
56;185;162;71;Zhang Zhung;x
57;190;163;57;Ladakh;x
58;213;192;104;Sum-Pa;x
59;203;173;54;Tuyuhum;x
60;205;0;0;Fire Palace;x
61;151;30;30;Fire Capital;x
62;141;29;29;Kanzaki;x
63;154;42;27;Maizuru;x
64;185;34;14;Yosa;x
65;146;71;71;Dragon Island;x
66;160;15;15;Tottori;x
67;128;11;11;Yasugi;x
68;217;26;26;Yonago;x
69;188;38;38;Ember Island;x
70;151;62;62;Jooshima;x
71;143;29;29;Sandu;x
72;150;80;71;Muli;x
73;109;28;18;Feixi;x
74;189;27;5;Susong;x
75;211;65;46;Izumo;x
76;108;40;31;Shobara;x
77;114;24;24;Otsumachi;x
78;177;36;36;Aso;x
79;147;38;24;Taki;x
80;247;0;0;Kawazoe;x
81;188;40;40;Watarai;x
82;176;6;6;Miura;x
83;121;25;25;Ryutozan;x
84;99;22;22;Somonyama;x
85;169;10;10;Samjosan;x
86;187;45;45;Yuya;x
87;196;24;24;Burning Point;x
88;96;18;18;Sakura;x
89;142;13;13;Tokida;x
90;163;15;15;Kantake;x
91;117;26;26;Sakiyama;x
92;198;24;24;Shiroyama;x
93;108;5;5;North Hono;x
94;140;35;35;Odai;x
95;191;23;23;Amagasaki;x
96;90;9;9;Aztlan;x
97;54;22;22;Boiling Rock;x
98;152;14;14;Shuhon;x
99;204;10;10;Uchiumi;x
100;81;7;7;Ma'inka;x
101;152;52;52;Ishigaki;x
102;117;20;20;Penghu;x
103;133;17;17;Ni'nago;x
104;195;31;31;Hira'a;x
105;222;75;75;Shu Jing;x
106;201;6;6;Jang Hui;x
107;146;20;20;Ichiba;x
108;204;57;57;Crescent Island;x
109;10;74;9;Royal Earth Palace;x
110;4;95;3;Dongcheng;x
111;31;140;29;Xincheng;x
112;189;219;188;Jianguomen;x
113;64;134;63;Haidian;x
114;40;135;24;Nanshi;x
115;21;67;14;University District;x
116;31;120;17;Da-Wa;x
117;160;188;159;Liuxiayu;x
118;17;120;46;Kojiki District;x
119;70;118;83;Binhai District;x
120;33;185;76;Tianjin District;x
121;35;115;57;Xiqing District;x
122;28;153;63;Gold District;x
123;93;150;110;Emerald District;x
124;35;84;49;Blue District;x
125;57;170;88;Jade District;x
126;65;119;80;Nan District;x
127;9;89;31;Flower District;x
128;41;82;53;Yellow District;x
129;10;67;26;Fang Yu Industrial District;x
130;39;103;57;Summer District;x
131;36;75;47;Sapphire District;x
132;62;97;58;Hequcun;x
133;99;186;90;Laogai;x
134;46;146;35;Yulincun;x
135;74;145;67;Wullingcun;x
136;83;153;76;Zhanglicun;x
137;34;153;22;Fancun;x
138;75;167;88;Shi Ju Zi;x
139;30;129;44;Yaodi;x
140;20;124;35;Wagou;x
141;93;146;100;Taizigou;x
142;20;167;41;Nan Day Island;x
143;39;105;49;Xintao;x
144;75;161;89;Shannan;x
145;41;146;58;Nantao;x
146;25;125;39;Xiadian;x
147;41;144;56;Qianshan;x
148;57;135;70;Daqing;x
149;84;150;95;Daoli;x
150;70;146;82;Nangang;x
151;51;184;73;Suihua;x
152;38;91;47;Hegang;x
153;53;156;60;Jilin;x
154;9;109;25;Yushan;x
155;76;132;80;Chengji;x
156;85;170;99;Baotou;x
157;64;144;77;Guyang;x
158;49;180;70;Shiguai Island;x
159;48;92;55;Wuhai;x
160;38;111;50;Bayan;x
161;62;161;77;Sonid Youqi;x
162;34;123;48;Alxa;x
163;46;153;63;Yinchuan Islands;x
164;22;134;41;Gansu;x
165;12;90;25;Baiyin;x
166;20;115;35;Kuka;x
167;35;146;52;Dajing;x
168;29;94;40;Jinzhong;x
169;46;131;60;Yuci;x
170;57;123;68;Xiaodian;x
171;19;139;39;Qixian;x
172;54;145;68;Niu Ju;x
173;66;123;75;Datan;x
174;24;80;33;Beixiao;x
175;69;131;38;North Serpent;x
176;53;168;69;Yankou;x
177;53;168;255;Yunzhong;x
178;77;152;88;Shigusi;x
179;29;140;45;Bianjing;x
180;83;188;98;Yanbian;x
181;52;140;64;Dalidong;x
182;69;120;76;Lishudong;x
183;19;92;30;Helong;x
184;40;142;54;Yongchon;x
185;48;101;56;Zhenxing;x
186;84;121;42;Yomju;x
187;40;181;60;Tongrim;x
188;31;117;43;Cholsan;x
189;25;86;33;Donggang;x
190;122;147;93;Shan You He;x
191;71;95;44;He De Xikou;x
192;40;67;9;Sitou;x
193;83;121;39;Lan Shan;x
194;92;116;64;Xinjiagou;x
195;106;146;58;Hujiang;x
196;106;182;16;Yancun;x
197;104;164;39;Weinan;x
198;138;185;88;Linwei;x
199;66;78;53;Hejiagou;x
200;60;74;47;Nanta;x
201;67;103;29;Qiugou;x
202;89;113;64;Ansai;x
203;121;149;91;Pangou;x
204;20;125;35;Majia;x
205;44;143;58;Si Gou;x
206;71;123;38;Ningqi;x
207;73;113;47;Taku;x
208;86;114;69;Taizhou;x
209;55;100;26;San Qi Ying;x
210;77;103;60;Gaoyou;x
211;89;122;68;Miao Qiao;x
212;66;116;33;Bengbu;x
213;61;132;14;Yangtaizi;x
214;135;194;96;Badaji;x
215;52;93;26;Feihe;x
216;70;137;26;Wuying;x
217;30;145;68;Pohai;x
218;44;174;87;Jimo;x
219;103;204;136;Wu Jia;x
220;75;159;103;Bu Xi;x
221;16;147;59;Xiong Lin;x
222;32;104;55;Ganjingzi;x
223;43;116;67;Pingdao;x
224;16;83;38;Jiaoliu;x
225;36;127;65;Huping;x
226;59;165;93;Jinzhou;x
227;73;134;93;Wafangdian;x
228;61;172;61;Yu Dao;x
229;16;94;16;Bincheng;x
230;53;142;53;Gaoqing;x
231;51;163;51;Sheng Shan;x
232;38;132;25;Makapu;x
233;14;102;2;Gangxi;x
234;97;165;89;Yantai;x
235;112;167;112;Dagong;x
236;48;136;36;Lushan;x
237;25;140;25;Zigan Village;x
238;76;132;76;Zhuwuzhen;x
239;51;113;51;Han Tui;x
240;8;164;8;Dong'an;x
241;19;89;19;Qizhaicun;x
242;57;135;57;Xikou;x
243;35;153;35;Shijian;x
244;54;122;54;Xiaoguan;x
245;17;108;17;Wulong Forest;x
246;46;137;46;Garsai;x
247;10;100;10;Chailangu;x
